"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"java.lang.String.substring (int, int)","18,797 ms (14.3%)","18,137 ms (14.5%)","49,643 ms (2.8%)","47,221 ms (2.8%)","113,924,356"
"java.lang.String.equals (Object)","18,646 ms (14.2%)","17,418 ms (13.9%)","18,659 ms (1.1%)","17,425 ms (1%)","485,968,839"
"json.JsonPureStringParser.read ()","14,845 ms (11.3%)","14,335 ms (11.5%)","73,371 ms (4.2%)","69,777 ms (4.2%)","103,284,000"
"java.lang.String.length ()","13,757 ms (10.5%)","13,012 ms (10.4%)","20,518 ms (1.2%)","19,320 ms (1.2%)","219,616,050"
"java.lang.StringLatin1.newString (byte[], int, int)","8,015 ms (6.1%)","7,430 ms (5.9%)","12,771 ms (0.7%)","12,101 ms (0.7%)","113,924,567"
"json.JsonPureStringParser.readStringInternal ()","7,065 ms (5.4%)","6,815 ms (5.5%)","63,980 ms (3.7%)","60,907 ms (3.7%)","7,796,000"
"java.lang.String.coder ()","6,761 ms (5.2%)","6,307 ms (5%)","6,761 ms (0.4%)","6,307 ms (0.4%)","219,617,942"
"json.JsonPureStringParser.isWhiteSpace ()","6,216 ms (4.7%)","6,010 ms (4.8%)","11,268 ms (0.6%)","10,749 ms (0.6%)","34,760,000"
"java.util.Arrays.copyOfRange (byte[], int, int)","4,752 ms (3.6%)","4,667 ms (3.7%)","4,755 ms (0.3%)","4,670 ms (0.3%)","113,924,601"
"java.lang.String.isLatin1 ()","4,170 ms (3.2%)","3,944 ms (3.2%)","4,170 ms (0.2%)","3,944 ms (0.2%)","127,507,820"
"java.lang.String.checkBoundsBeginEnd (int, int, int)","3,873 ms (3%)","3,608 ms (2.9%)","3,873 ms (0.2%)","3,608 ms (0.2%)","113,924,443"
"json.JsonPureStringParser.readChar (String)","3,645 ms (2.8%)","3,501 ms (2.8%)","22,034 ms (1.3%)","20,927 ms (1.3%)","40,464,000"
"json.JsonPureStringParser.isDigit ()","2,871 ms (2.2%)","2,795 ms (2.2%)","5,276 ms (0.3%)","5,050 ms (0.3%)","10,172,000"
"json.JsonPureStringParser.readArray ()","2,508 ms (1.9%)","2,424 ms (1.9%)","130,911 ms (7.5%)","124,711 ms (7.5%)","2,212,000"
"json.JsonPureStringParser.skipWhiteSpace ()","2,236 ms (1.7%)","2,170 ms (1.7%)","13,505 ms (0.8%)","12,920 ms (0.8%)","34,760,000"
"json.JsonPureStringParser.readValue ()","2,069 ms (1.6%)","1,997 ms (1.6%)","131,131 ms (7.5%)","124,917 ms (7.5%)","13,568,000"
"java.lang.String.hashCode ()","1,380 ms (1.1%)","1,270 ms (1%)","2,299 ms (0.1%)","2,143 ms (0.1%)","13,570,387"
"json.JsonPureStringParser.endCapture ()","1,156 ms (0.9%)","1,120 ms (0.9%)","6,344 ms (0.4%)","6,061 ms (0.4%)","10,644,000"
"json.JsonPureStringParser.readNumber ()","1,095 ms (0.8%)","1,049 ms (0.8%)","16,222 ms (0.9%)","15,482 ms (0.9%)","2,848,000"
"json.JsonPureStringParser.readObject ()","965 ms (0.7%)","932 ms (0.7%)","131,129 ms (7.5%)","124,916 ms (7.5%)","628,000"
"json.JsonPureStringParser.readDigit ()","950 ms (0.7%)","898 ms (0.7%)","11,482 ms (0.7%)","10,947 ms (0.7%)","10,172,000"
"json.JsonArray.add (json.JsonValue)","755 ms (0.6%)","689 ms (0.6%)","1,201 ms (0.1%)","1,135 ms (0.1%)","11,172,000"
"som.Vector.append (Object)","623 ms (0.5%)","605 ms (0.5%)","633 ms (0%)","616 ms (0%)","15,956,000"
"json.JsonPureStringParser.readRequiredChar (String)","510 ms (0.4%)","492 ms (0.4%)","6,911 ms (0.4%)","6,556 ms (0.4%)","7,440,000"
"java.lang.StringLatin1.hashCode (byte[])","466 ms (0.4%)","443 ms (0.4%)","466 ms (0%)","443 ms (0%)","13,568,430"
"json.JsonObject.add (String, json.JsonValue)","403 ms (0.3%)","387 ms (0.3%)","1,427 ms (0.1%)","1,347 ms (0.1%)","2,392,000"
"json.JsonPureStringParser.readString ()","404 ms (0.3%)","386 ms (0.3%)","42,386 ms (2.4%)","40,369 ms (2.4%)","5,404,000"
"json.JsonPureStringParser.readNull ()","393 ms (0.3%)","371 ms (0.3%)","8,613 ms (0.5%)","8,193 ms (0.5%)","2,360,000"
"json.JsonPureStringParser.startCapture ()","375 ms (0.3%)","358 ms (0.3%)","375 ms (0%)","358 ms (0%)","10,644,000"
"json.JsonPureStringParser.readExponent ()","306 ms (0.2%)","288 ms (0.2%)","919 ms (0.1%)","872 ms (0.1%)","2,848,000"
"json.JsonPureStringParser.readName ()","265 ms (0.2%)","253 ms (0.2%)","22,380 ms (1.3%)","21,288 ms (1.3%)","2,392,000"
"json.JsonPureStringParser.readFraction ()","201 ms (0.2%)","192 ms (0.2%)","507 ms (0%)","488 ms (0%)","2,848,000"
"json.JsonObject$HashIndexTable.add (String, int)","180 ms (0.1%)","174 ms (0.1%)","746 ms (0%)","714 ms (0%)","2,392,000"
"json.JsonObject$HashIndexTable.hashSlotFor (String)","162 ms (0.1%)","159 ms (0.1%)","569 ms (0%)","543 ms (0%)","2,404,000"
"json.JsonObject$HashIndexTable.stringHash (String)","169 ms (0.1%)","158 ms (0.1%)","406 ms (0%)","384 ms (0%)","2,404,000"
"som.Vector.size ()","89.5 ms (0.1%)","76.0 ms (0.1%)","89.5 ms (0%)","76.0 ms (0%)","2,396,000"
"json.JsonPureStringParser.readTrue ()","20.0 ms (0%)","19.0 ms (0%)","400 ms (0%)","375 ms (0%)","104,000"
"Benchmark.innerBenchmarkLoop (int)","13.9 ms (0%)","13.9 ms (0%)","131,202 ms (7.5%)","124,981 ms (7.5%)","40"
"Json.verifyResult (Object)","10.0 ms (0%)","9.46 ms (0%)","26.4 ms (0%)","25.4 ms (0%)","4,000"
"Run.reportBenchmark ()","11.3 ms (0%)","8.23 ms (0%)","19.1 ms (0%)","15.0 ms (0%)","1"
"java.util.Arrays.copyOf (Object[], int, Class)","6.59 ms (0%)","6.63 ms (0%)","6.93 ms (0%)","6.92 ms (0%)","5,277"
