"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"nbody.NBodySystem.advance (double)","6,018 ms (73.4%)","5,730 ms (75.4%)","6,018 ms (12.7%)","5,731 ms (13.1%)","48,000,000"
"NBody.innerBenchmarkLoop (int)","2,100 ms (25.6%)","1,815 ms (23.9%)","8,133 ms (17.2%)","7,550 ms (17.2%)","40"
"Run.reportBenchmark ()","12.0 ms (0.1%)","10.2 ms (0.1%)","22.3 ms (0%)","18.3 ms (0%)","1"
"java.lang.String.charAt (int)","3.28 ms (0%)","3.8 ms (0%)","5.45 ms (0%)","5.21 ms (0%)","13,814"
"Run.printResult (long)","1.80 ms (0%)","1.61 ms (0%)","7.85 ms (0%)","5.20 ms (0%)","40"
"java.lang.ClassLoader.defineClass (String, byte[], int, int, java.security.ProtectionDomain)","1.55 ms (0%)","1.54 ms (0%)","4.57 ms (0%)","3.89 ms (0%)","18"
"java.lang.String.isLatin1 ()","1.26 ms (0%)","1.16 ms (0%)","1.26 ms (0%)","1.16 ms (0%)","15,181"
"java.lang.StringLatin1.charAt (byte[], int)","1.9 ms (0%)","1.7 ms (0%)","1.9 ms (0%)","1.7 ms (0%)","13,814"
"java.io.FileOutputStream.write (byte[], int, int)","2.40 ms (0%)","0.784 ms (0%)","2.42 ms (0%)","0.795 ms (0%)","44"
"java.lang.String.length ()","0.962 ms (0%)","0.771 ms (0%)","1.36 ms (0%)","1.17 ms (0%)","3,394"
"Run.getSuiteFromName (String)","1.7 ms (0%)","0.710 ms (0%)","2.28 ms (0%)","1.85 ms (0%)","1"
"java.util.zip.Inflater.inflate (byte[], int, int)","0.655 ms (0%)","0.653 ms (0%)","0.805 ms (0%)","0.785 ms (0%)","56"
"Run.runBenchmark ()","0.565 ms (0%)","0.549 ms (0%)","8,167 ms (17.3%)","7,577 ms (17.3%)","1"
"java.lang.String.coder ()","0.651 ms (0%)","0.532 ms (0%)","0.651 ms (0%)","0.532 ms (0%)","4,872"
"java.lang.ClassLoader.findBootstrapClassOrNull (String)","0.505 ms (0%)","0.496 ms (0%)","0.680 ms (0%)","0.674 ms (0%)","31"
"Harness.processArguments (String[])","4.12 ms (0.1%)","0.449 ms (0%)","33.8 ms (0.1%)","21.2 ms (0%)","1"
"java.util.concurrent.ConcurrentHashMap.get (Object)","0.595 ms (0%)","0.422 ms (0%)","1.10 ms (0%)","0.777 ms (0%)","376"
"java.lang.AbstractStringBuilder.append (String)","0.824 ms (0%)","0.371 ms (0%)","2.76 ms (0%)","2.12 ms (0%)","462"
"java.lang.AbstractStringBuilder.putStringAt (int, String, int, int)","0.354 ms (0%)","0.355 ms (0%)","0.684 ms (0%)","0.682 ms (0%)","462"
"nbody.NBodySystem.energy ()","0.353 ms (0%)","0.351 ms (0%)","0.353 ms (0%)","0.351 ms (0%)","40"
"jdk.internal.loader.URLClassPath$JarLoader.checkResource (String, boolean, java.util.jar.JarEntry)","0.370 ms (0%)","0.350 ms (0%)","4.15 ms (0%)","3.91 ms (0%)","18"
"java.util.zip.ZipFile.getInputStream (java.util.zip.ZipEntry)","0.369 ms (0%)","0.347 ms (0%)","1.41 ms (0%)","1.32 ms (0%)","19"
"java.util.Arrays.copyOf (byte[], int)","0.340 ms (0%)","0.343 ms (0%)","0.365 ms (0%)","0.364 ms (0%)","159"
"sun.nio.cs.UTF_8$Encoder.encodeArrayLoop (java.nio.CharBuffer, java.nio.ByteBuffer)","0.359 ms (0%)","0.343 ms (0%)","1.38 ms (0%)","0.733 ms (0%)","44"
"java.lang.String.hashCode ()","0.369 ms (0%)","0.334 ms (0%)","0.514 ms (0%)","0.480 ms (0%)","2,293"
"java.util.concurrent.ConcurrentHashMap.putVal (Object, Object, boolean)","0.323 ms (0%)","0.318 ms (0%)","0.714 ms (0%)","0.704 ms (0%)","104"
"java.util.jar.JarFile.getManifestFromReference ()","0.869 ms (0%)","0.312 ms (0%)","3.32 ms (0%)","1.49 ms (0%)","2"
"java.io.PrintStream.println (String)","0.289 ms (0%)","0.290 ms (0%)","7.0 ms (0%)","4.50 ms (0%)","43"
"nbody.NBodySystem.createBodies ()","8.7 ms (0.1%)","0.290 ms (0%)","9.0 ms (0%)","1.20 ms (0%)","40"
"jdk.internal.loader.BuiltinClassLoader.loadClassOrNull (String, boolean)","0.283 ms (0%)","0.271 ms (0%)","33.9 ms (0.1%)","22.7 ms (0.1%)","45"
"java.util.concurrent.ConcurrentHashMap.tabAt (java.util.concurrent.ConcurrentHashMap.Node[], int)","0.302 ms (0%)","0.265 ms (0%)","0.401 ms (0%)","0.363 ms (0%)","591"
"Run.lambda$getSuiteFromName$7 ()","0.275 ms (0%)","0.264 ms (0%)","0.275 ms (0%)","0.264 ms (0%)","1"
"java.util.zip.ZipFile.getZipEntry (String, int)","0.266 ms (0%)","0.250 ms (0%)","0.767 ms (0%)","0.741 ms (0%)","18"
"java.io.PrintStream.writeln (String)","0.256 ms (0%)","0.235 ms (0%)","6.69 ms (0%)","4.19 ms (0%)","43"
"java.lang.ClassLoader.definePackage (String, String, String, String, String, String, String, java.net.URL)","1.9 ms (0%)","0.233 ms (0%)","1.12 ms (0%)","0.259 ms (0%)","1"
"java.lang.AbstractStringBuilder.putStringAt (int, String)","0.230 ms (0%)","0.232 ms (0%)","1.9 ms (0%)","1.9 ms (0%)","462"
"java.util.jar.Manifest.read (java.io.InputStream, String)","1.17 ms (0%)","0.216 ms (0%)","2.34 ms (0%)","1.7 ms (0%)","1"
"Run.measure (Benchmark)","0.209 ms (0%)","0.209 ms (0%)","8,142 ms (17.2%)","7,556 ms (17.2%)","40"
"jdk.internal.loader.BuiltinClassLoader.defineClass (String, jdk.internal.loader.Resource)","0.222 ms (0%)","0.202 ms (0%)","23.7 ms (0.1%)","13.1 ms (0%)","18"
"java.lang.ClassLoader.checkName (String)","0.195 ms (0%)","0.200 ms (0%)","0.737 ms (0%)","0.724 ms (0%)","94"
"java.nio.CharBuffer.wrap (char[], int, int)","0.204 ms (0%)","0.196 ms (0%)","0.401 ms (0%)","0.384 ms (0%)","44"
"sun.net.www.protocol.jar.Handler.parseURL (java.net.URL, String, int, int)","0.208 ms (0%)","0.191 ms (0%)","2.50 ms (0%)","2.40 ms (0%)","18"
"java.util.zip.ZipFile$Source.getEntryPos (String, boolean)","0.208 ms (0%)","0.190 ms (0%)","0.802 ms (0%)","0.763 ms (0%)","19"
"java.io.RandomAccessFile.read (byte[], int, int)","0.184 ms (0%)","0.187 ms (0%)","0.184 ms (0%)","0.187 ms (0%)","38"
"java.lang.String.substring (int, int)","0.195 ms (0%)","0.186 ms (0%)","0.460 ms (0%)","0.454 ms (0%)","300"
"java.lang.StringBuilder.append (String)","0.191 ms (0%)","0.183 ms (0%)","2.95 ms (0%)","2.31 ms (0%)","462"
"java.lang.AbstractStringBuilder.ensureCapacityInternal (int)","0.187 ms (0%)","0.181 ms (0%)","0.508 ms (0%)","0.495 ms (0%)","729"
"java.lang.String.indexOf (int, int)","0.184 ms (0%)","0.179 ms (0%)","0.526 ms (0%)","0.517 ms (0%)","403"
"java.lang.StringLatin1.lastIndexOf (byte[], int, int)","0.175 ms (0%)","0.179 ms (0%)","0.244 ms (0%)","0.246 ms (0%)","158"
"sun.net.util.URLUtil.urlNoFragString (java.net.URL)","0.182 ms (0%)","0.175 ms (0%)","7.83 ms (0%)","1.18 ms (0%)","18"
