"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"som.Vector.forEach (som.ForEachInterface)","25,531 ms (22%)","25,038 ms (22.4%)","54,756 ms (5.3%)","52,582 ms (5.3%)","40,807,761"
"deltablue.EqualityConstraint.execute ()","13,971 ms (12%)","12,928 ms (11.6%)","13,971 ms (1.3%)","12,928 ms (1.3%)","249,600,000"
"deltablue.Planner.addPropagate (deltablue.AbstractConstraint, int)","9,250 ms (8%)","8,955 ms (8%)","30,918 ms (3%)","29,788 ms (3%)","14,400,440"
"deltablue.AbstractConstraint.satisfy (int, deltablue.Planner)","5,455 ms (4.7%)","5,304 ms (4.7%)","42,077 ms (4.1%)","40,569 ms (4.1%)","14,400,560"
"som.Vector.isEmpty ()","4,712 ms (4.1%)","4,554 ms (4.1%)","4,712 ms (0.5%)","4,554 ms (0.5%)","81,603,000"
"deltablue.BinaryConstraint.getOutput ()","4,388 ms (3.8%)","4,113 ms (3.7%)","4,388 ms (0.4%)","4,113 ms (0.4%)","74,400,720"
"som.Vector.removeFirst ()","3,818 ms (3.3%)","3,662 ms (3.3%)","5,741 ms (0.6%)","5,530 ms (0.6%)","33,601,080"
"som.Vector.append (Object)","3,472 ms (3%)","3,393 ms (3%)","3,524 ms (0.3%)","3,434 ms (0.3%)","60,001,928"
"deltablue.Planner.makePlan (som.Vector)","3,388 ms (2.9%)","3,340 ms (3%)","11,123 ms (1.1%)","10,713 ms (1.1%)","200"
"deltablue.ScaleConstraint.execute ()","3,332 ms (2.9%)","3,095 ms (2.8%)","3,332 ms (0.3%)","3,095 ms (0.3%)","55,200,960"
"deltablue.Planner.addConstraintsConsumingTo (deltablue.Variable, som.Vector)","3,063 ms (2.6%)","2,970 ms (2.7%)","8,472 ms (0.8%)","8,144 ms (0.8%)","26,400,800"
"deltablue.BinaryConstraint.isSatisfied ()","3,081 ms (2.6%)","2,945 ms (2.6%)","3,081 ms (0.3%)","2,945 ms (0.3%)","52,800,560"
"deltablue.Strength.weakest (deltablue.Strength)","2,759 ms (2.4%)","2,678 ms (2.4%)","4,146 ms (0.4%)","4,009 ms (0.4%)","24,000,240"
"deltablue.BinaryConstraint.recalculate ()","2,011 ms (1.7%)","1,925 ms (1.7%)","4,671 ms (0.5%)","4,497 ms (0.5%)","12,000,000"
"deltablue.ScaleConstraint.recalculate ()","1,873 ms (1.6%)","1,887 ms (1.7%)","4,409 ms (0.4%)","4,267 ms (0.4%)","12,000,240"
"deltablue.Planner.removePropagateFrom (deltablue.Variable)","1,796 ms (1.5%)","1,735 ms (1.6%)","13,137 ms (1.3%)","12,606 ms (1.3%)","200"
"deltablue.BinaryConstraint.chooseMethod (int)","1,785 ms (1.5%)","1,731 ms (1.5%)","2,748 ms (0.3%)","2,645 ms (0.3%)","12,000,080"
"deltablue.Variable.addConstraint (deltablue.AbstractConstraint)","1,835 ms (1.6%)","1,691 ms (1.5%)","2,804 ms (0.3%)","2,676 ms (0.3%)","16,800,240"
"deltablue.Planner.incrementalAdd (deltablue.AbstractConstraint)","1,719 ms (1.5%)","1,677 ms (1.5%)","44,208 ms (4.3%)","42,630 ms (4.3%)","7,200,360"
"som.Vector.with (Object)","1,668 ms (1.4%)","1,611 ms (1.4%)","2,524 ms (0.2%)","2,438 ms (0.2%)","14,400,840"
"deltablue.Strength.weaker (deltablue.Strength)","1,668 ms (1.4%)","1,593 ms (1.4%)","1,668 ms (0.2%)","1,593 ms (0.2%)","28,800,240"
"som.Dictionary.at (som.Dictionary.CustomHash)","1,629 ms (1.4%)","1,543 ms (1.4%)","3,690 ms (0.4%)","3,541 ms (0.4%)","7,200,242"
"deltablue.Planner.projectionTest (int)","1,328 ms (1.1%)","1,278 ms (1.1%)","49,164 ms (4.7%)","47,332 ms (4.8%)","40"
"deltablue.AbstractConstraint.addConstraint (deltablue.Planner)","1,242 ms (1.1%)","1,208 ms (1.1%)","43,191 ms (4.2%)","41,644 ms (4.2%)","7,200,240"
"deltablue.AbstractConstraint.inputsKnown (int)","881 ms (0.8%)","829 ms (0.7%)","1,391 ms (0.1%)","1,327 ms (0.1%)","7,200,280"
"deltablue.Strength.of (deltablue.Strength.Sym)","827 ms (0.7%)","800 ms (0.7%)","4,518 ms (0.4%)","4,342 ms (0.4%)","7,200,242"
"som.Dictionary.getBucket (int)","821 ms (0.7%)","799 ms (0.7%)","1,263 ms (0.1%)","1,225 ms (0.1%)","7,200,242"
"deltablue.Strength.stronger (deltablue.Strength)","812 ms (0.7%)","778 ms (0.7%)","812 ms (0.1%)","778 ms (0.1%)","14,400,440"
"deltablue.Planner.constraintsConsuming (deltablue.Variable, som.ForEachInterface)","820 ms (0.7%)","777 ms (0.7%)","7,401 ms (0.7%)","7,093 ms (0.7%)","7,200,280"
"deltablue.ScaleConstraint.addToGraph ()","682 ms (0.6%)","663 ms (0.6%)","2,227 ms (0.2%)","2,137 ms (0.2%)","2,400,000"
"deltablue.BinaryConstraint.inputsDo (som.ForEachInterface)","567 ms (0.5%)","557 ms (0.5%)","567 ms (0.1%)","557 ms (0.1%)","9,600,000"
