"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"som.Vector.forEach (som.ForEachInterface)","130,741 ms (23.7%)","127,674 ms (23.9%)","269,838 ms (1.1%)","261,658 ms (1%)","306,058,201"
"deltablue.EqualityConstraint.execute ()","67,793 ms (12.3%)","64,812 ms (12.1%)","67,793 ms (0.3%)","64,812 ms (0.3%)","1,872,000,000"
"deltablue.Planner.addPropagate (deltablue.AbstractConstraint, int)","42,713 ms (7.7%)","41,742 ms (7.8%)","142,596 ms (0.6%)","137,483 ms (0.5%)","108,003,300"
"deltablue.AbstractConstraint.satisfy (int, deltablue.Planner)","26,702 ms (4.8%)","26,182 ms (4.9%)","193,527 ms (0.8%)","186,859 ms (0.7%)","108,004,200"
"som.Vector.isEmpty ()","21,270 ms (3.9%)","20,017 ms (3.7%)","21,270 ms (0.1%)","20,017 ms (0.1%)","612,022,500"
"deltablue.BinaryConstraint.getOutput ()","18,101 ms (3.3%)","16,933 ms (3.2%)","18,101 ms (0.1%)","16,933 ms (0.1%)","558,005,400"
"deltablue.Planner.makePlan (som.Vector)","16,468 ms (3%)","16,472 ms (3.1%)","49,920 ms (0.2%)","48,288 ms (0.2%)","1,500"
"som.Vector.removeFirst ()","16,767 ms (3%)","16,359 ms (3.1%)","25,057 ms (0.1%)","24,142 ms (0.1%)","252,008,100"
"som.Vector.append (Object)","15,825 ms (2.9%)","15,278 ms (2.9%)","16,051 ms (0.1%)","15,466 ms (0.1%)","450,014,408"
"deltablue.ScaleConstraint.execute ()","15,411 ms (2.8%)","15,105 ms (2.8%)","15,411 ms (0.1%)","15,105 ms (0.1%)","414,007,200"
"deltablue.BinaryConstraint.isSatisfied ()","13,811 ms (2.5%)","13,204 ms (2.5%)","13,811 ms (0.1%)","13,204 ms (0.1%)","396,004,200"
"deltablue.Planner.addConstraintsConsumingTo (deltablue.Variable, som.Vector)","13,675 ms (2.5%)","12,941 ms (2.4%)","38,971 ms (0.2%)","37,334 ms (0.1%)","198,006,000"
"deltablue.Strength.weakest (deltablue.Strength)","11,935 ms (2.2%)","11,568 ms (2.2%)","18,072 ms (0.1%)","17,398 ms (0.1%)","180,001,800"
"deltablue.ScaleConstraint.recalculate ()","10,443 ms (1.9%)","10,607 ms (2%)","21,570 ms (0.1%)","21,105 ms (0.1%)","90,001,800"
"deltablue.BinaryConstraint.recalculate ()","10,014 ms (1.8%)","9,578 ms (1.8%)","21,482 ms (0.1%)","20,626 ms (0.1%)","90,000,000"
"deltablue.Variable.addConstraint (deltablue.AbstractConstraint)","9,226 ms (1.7%)","8,918 ms (1.7%)","13,648 ms (0.1%)","13,261 ms (0.1%)","126,001,800"
"som.Vector.with (Object)","8,440 ms (1.5%)","8,061 ms (1.5%)","12,273 ms (0%)","11,809 ms (0%)","108,006,300"
"deltablue.Planner.removePropagateFrom (deltablue.Variable)","8,352 ms (1.5%)","8,050 ms (1.5%)","62,990 ms (0.3%)","61,192 ms (0.2%)","1,500"
"deltablue.Planner.incrementalAdd (deltablue.AbstractConstraint)","7,768 ms (1.4%)","7,458 ms (1.4%)","203,129 ms (0.8%)","196,140 ms (0.8%)","54,002,700"
"deltablue.BinaryConstraint.chooseMethod (int)","7,610 ms (1.4%)","7,313 ms (1.4%)","11,847 ms (0%)","11,304 ms (0%)","90,000,600"
"som.Dictionary.at (som.Dictionary.CustomHash)","7,334 ms (1.3%)","7,273 ms (1.4%)","17,066 ms (0.1%)","16,486 ms (0.1%)","54,001,802"
"deltablue.Strength.weaker (deltablue.Strength)","7,347 ms (1.3%)","6,962 ms (1.3%)","7,347 ms (0%)","6,962 ms (0%)","216,001,800"
