"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"som.Vector.forEach (som.ForEachInterface)","16,943 ms (22.7%)","16,675 ms (23.2%)","35,843 ms (5.4%)","34,733 ms (5.4%)","40,807,761"
"deltablue.EqualityConstraint.execute ()","9,238 ms (12.4%)","8,703 ms (12.1%)","9,238 ms (1.4%)","8,703 ms (1.4%)","249,600,000"
"deltablue.Planner.addPropagate (deltablue.AbstractConstraint, int)","5,774 ms (7.8%)","5,709 ms (7.9%)","19,671 ms (3%)","18,999 ms (3%)","14,400,440"
"deltablue.AbstractConstraint.satisfy (int, deltablue.Planner)","3,458 ms (4.6%)","3,344 ms (4.6%)","26,551 ms (4%)","25,605 ms (4%)","14,400,560"
"som.Vector.isEmpty ()","2,882 ms (3.9%)","2,736 ms (3.8%)","2,882 ms (0.4%)","2,736 ms (0.4%)","81,603,000"
"deltablue.BinaryConstraint.getOutput ()","2,656 ms (3.6%)","2,484 ms (3.5%)","2,656 ms (0.4%)","2,484 ms (0.4%)","74,400,720"
"som.Vector.removeFirst ()","2,335 ms (3.1%)","2,237 ms (3.1%)","3,462 ms (0.5%)","3,321 ms (0.5%)","33,601,080"
"deltablue.ScaleConstraint.execute ()","2,203 ms (3%)","2,132 ms (3%)","2,203 ms (0.3%)","2,132 ms (0.3%)","55,200,960"
"som.Vector.append (Object)","2,189 ms (2.9%)","2,115 ms (2.9%)","2,235 ms (0.3%)","2,153 ms (0.3%)","60,001,928"
"deltablue.Planner.makePlan (som.Vector)","2,101 ms (2.8%)","2,069 ms (2.9%)","6,733 ms (1%)","6,510 ms (1%)","200"
"deltablue.BinaryConstraint.isSatisfied ()","1,901 ms (2.6%)","1,823 ms (2.5%)","1,901 ms (0.3%)","1,823 ms (0.3%)","52,800,560"
"deltablue.Planner.addConstraintsConsumingTo (deltablue.Variable, som.Vector)","1,884 ms (2.5%)","1,793 ms (2.5%)","5,273 ms (0.8%)","5,071 ms (0.8%)","26,400,800"
"deltablue.BinaryConstraint.recalculate ()","1,720 ms (2.3%)","1,684 ms (2.3%)","3,306 ms (0.5%)","3,211 ms (0.5%)","12,000,000"
"deltablue.Strength.weakest (deltablue.Strength)","1,623 ms (2.2%)","1,571 ms (2.2%)","2,490 ms (0.4%)","2,409 ms (0.4%)","24,000,240"
"deltablue.ScaleConstraint.recalculate ()","1,261 ms (1.7%)","1,218 ms (1.7%)","2,854 ms (0.4%)","2,755 ms (0.4%)","12,000,240"
"deltablue.Planner.removePropagateFrom (deltablue.Variable)","1,146 ms (1.5%)","1,142 ms (1.6%)","8,753 ms (1.3%)","8,512 ms (1.3%)","200"
"deltablue.Variable.addConstraint (deltablue.AbstractConstraint)","1,136 ms (1.5%)","1,089 ms (1.5%)","1,762 ms (0.3%)","1,689 ms (0.3%)","16,800,240"
"deltablue.BinaryConstraint.chooseMethod (int)","1,073 ms (1.4%)","1,020 ms (1.4%)","1,674 ms (0.3%)","1,601 ms (0.3%)","12,000,080"
"deltablue.Planner.incrementalAdd (deltablue.AbstractConstraint)","1,046 ms (1.4%)","1,009 ms (1.4%)","27,856 ms (4.2%)","26,865 ms (4.2%)","7,200,360"
"deltablue.Strength.weaker (deltablue.Strength)","1,045 ms (1.4%)","1,009 ms (1.4%)","1,045 ms (0.2%)","1,009 ms (0.2%)","28,800,240"
"som.Vector.with (Object)","1,047 ms (1.4%)","992 ms (1.4%)","1,582 ms (0.2%)","1,507 ms (0.2%)","14,400,840"
"som.Dictionary.at (som.Dictionary.CustomHash)","961 ms (1.3%)","928 ms (1.3%)","2,274 ms (0.3%)","2,185 ms (0.3%)","7,200,242"
"deltablue.Planner.projectionTest (int)","858 ms (1.2%)","838 ms (1.2%)","31,933 ms (4.8%)","30,925 ms (4.8%)","40"
"deltablue.AbstractConstraint.addConstraint (deltablue.Planner)","753 ms (1%)","730 ms (1%)","27,210 ms (4.1%)","26,207 ms (4.1%)","7,200,240"
"deltablue.AbstractConstraint.inputsKnown (int)","529 ms (0.7%)","513 ms (0.7%)","780 ms (0.1%)","751 ms (0.1%)","7,200,280"
"deltablue.Planner.constraintsConsuming (deltablue.Variable, som.ForEachInterface)","518 ms (0.7%)","508 ms (0.7%)","4,768 ms (0.7%)","4,640 ms (0.7%)","7,200,280"
"som.Dictionary.getBucket (int)","529 ms (0.7%)","507 ms (0.7%)","803 ms (0.1%)","773 ms (0.1%)","7,200,242"
