"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"som.Vector.forEach (som.ForEachInterface)","19,100 ms (21.8%)","18,750 ms (22.2%)","42,439 ms (5.4%)","41,072 ms (5.5%)","40,807,761"
"deltablue.EqualityConstraint.execute ()","10,834 ms (12.3%)","10,144 ms (12%)","10,834 ms (1.4%)","10,144 ms (1.4%)","249,600,000"
"deltablue.Planner.addPropagate (deltablue.AbstractConstraint, int)","6,639 ms (7.6%)","6,443 ms (7.6%)","22,824 ms (2.9%)","21,961 ms (2.9%)","14,400,440"
"deltablue.AbstractConstraint.satisfy (int, deltablue.Planner)","4,208 ms (4.8%)","4,083 ms (4.8%)","31,168 ms (4%)","30,005 ms (4%)","14,400,560"
"deltablue.ScaleConstraint.execute ()","3,799 ms (4.3%)","3,815 ms (4.5%)","3,799 ms (0.5%)","3,815 ms (0.5%)","55,200,960"
"som.Vector.isEmpty ()","3,414 ms (3.9%)","3,233 ms (3.8%)","3,414 ms (0.4%)","3,233 ms (0.4%)","81,603,000"
"deltablue.BinaryConstraint.getOutput ()","3,107 ms (3.5%)","2,931 ms (3.5%)","3,107 ms (0.4%)","2,931 ms (0.4%)","74,400,720"
"som.Vector.removeFirst ()","2,738 ms (3.1%)","2,667 ms (3.2%)","4,096 ms (0.5%)","3,930 ms (0.5%)","33,601,080"
"som.Vector.append (Object)","2,610 ms (3%)","2,475 ms (2.9%)","2,644 ms (0.3%)","2,509 ms (0.3%)","60,001,928"
"deltablue.Planner.makePlan (som.Vector)","2,540 ms (2.9%)","2,460 ms (2.9%)","8,110 ms (1%)","7,788 ms (1%)","200"
"deltablue.Planner.addConstraintsConsumingTo (deltablue.Variable, som.Vector)","2,286 ms (2.6%)","2,178 ms (2.6%)","6,550 ms (0.8%)","6,310 ms (0.8%)","26,400,800"
"deltablue.BinaryConstraint.isSatisfied ()","2,206 ms (2.5%)","2,113 ms (2.5%)","2,206 ms (0.3%)","2,113 ms (0.3%)","52,800,560"
"deltablue.Strength.weakest (deltablue.Strength)","1,941 ms (2.2%)","1,828 ms (2.2%)","2,937 ms (0.4%)","2,766 ms (0.4%)","24,000,240"
"deltablue.BinaryConstraint.recalculate ()","1,485 ms (1.7%)","1,442 ms (1.7%)","3,374 ms (0.4%)","3,240 ms (0.4%)","12,000,000"
"deltablue.ScaleConstraint.recalculate ()","1,379 ms (1.6%)","1,351 ms (1.6%)","3,127 ms (0.4%)","2,996 ms (0.4%)","12,000,240"
"deltablue.Variable.addConstraint (deltablue.AbstractConstraint)","1,335 ms (1.5%)","1,296 ms (1.5%)","2,076 ms (0.3%)","1,996 ms (0.3%)","16,800,240"
"som.Vector.with (Object)","1,312 ms (1.5%)","1,256 ms (1.5%)","1,960 ms (0.3%)","1,860 ms (0.2%)","14,400,840"
"deltablue.Planner.removePropagateFrom (deltablue.Variable)","1,277 ms (1.5%)","1,242 ms (1.5%)","9,435 ms (1.2%)","9,127 ms (1.2%)","200"
"deltablue.BinaryConstraint.chooseMethod (int)","1,274 ms (1.5%)","1,208 ms (1.4%)","1,999 ms (0.3%)","1,895 ms (0.3%)","12,000,080"
"deltablue.Planner.incrementalAdd (deltablue.AbstractConstraint)","1,234 ms (1.4%)","1,195 ms (1.4%)","32,701 ms (4.2%)","31,481 ms (4.2%)","7,200,360"
"deltablue.Strength.weaker (deltablue.Strength)","1,213 ms (1.4%)","1,145 ms (1.4%)","1,213 ms (0.2%)","1,145 ms (0.2%)","28,800,240"
"som.Dictionary.at (som.Dictionary.CustomHash)","1,153 ms (1.3%)","1,102 ms (1.3%)","2,705 ms (0.3%)","2,586 ms (0.3%)","7,200,242"
"deltablue.Planner.projectionTest (int)","1,093 ms (1.2%)","1,051 ms (1.2%)","38,030 ms (4.9%)","36,781 ms (4.9%)","40"
"deltablue.AbstractConstraint.addConstraint (deltablue.Planner)","994 ms (1.1%)","970 ms (1.1%)","31,969 ms (4.1%)","30,767 ms (4.1%)","7,200,240"
"som.Dictionary.getBucket (int)","639 ms (0.7%)","614 ms (0.7%)","946 ms (0.1%)","912 ms (0.1%)","7,200,242"
"deltablue.Strength.of (deltablue.Strength.Sym)","634 ms (0.7%)","607 ms (0.7%)","3,340 ms (0.4%)","3,193 ms (0.4%)","7,200,242"
"deltablue.AbstractConstraint.inputsKnown (int)","615 ms (0.7%)","589 ms (0.7%)","924 ms (0.1%)","887 ms (0.1%)","7,200,280"
"deltablue.Strength.stronger (deltablue.Strength)","602 ms (0.7%)","571 ms (0.7%)","602 ms (0.1%)","571 ms (0.1%)","14,400,440"
"deltablue.Planner.constraintsConsuming (deltablue.Variable, som.ForEachInterface)","569 ms (0.6%)","554 ms (0.7%)","5,262 ms (0.7%)","5,094 ms (0.7%)","7,200,280"
"deltablue.ScaleConstraint.addToGraph ()","502 ms (0.6%)","494 ms (0.6%)","1,685 ms (0.2%)","1,630 ms (0.2%)","2,400,000"
"deltablue.Variable.value (int)","455 ms (0.5%)","443 ms (0.5%)","652 ms (0.1%)","627 ms (0.1%)","4,800,080"
"deltablue.BinaryConstraint.inputsDo (som.ForEachInterface)","457 ms (0.5%)","441 ms (0.5%)","457 ms (0.1%)","441 ms (0.1%)","9,600,000"
"deltablue.Strength.absoluteWeakest ()","346 ms (0.4%)","307 ms (0.4%)","346 ms (0%)","307 ms (0%)","7,140,319"
"deltablue.BinaryConstraint.addToGraph ()","324 ms (0.4%)","302 ms (0.4%)","926 ms (0.1%)","882 ms (0.1%)","2,400,000"
"som.Dictionary.getBucketIdx (int)","306 ms (0.3%)","298 ms (0.4%)","306 ms (0%)","298 ms (0%)","7,200,266"
"deltablue.BinaryConstraint.inputsHasOne (som.TestInterface)","306 ms (0.3%)","294 ms (0.3%)","306 ms (0%)","294 ms (0%)","7,200,080"
"som.IdentityDictionary$IdEntry.match (int, Object)","304 ms (0.3%)","289 ms (0.3%)","304 ms (0%)","289 ms (0%)","7,200,242"
"som.Dictionary.hash (som.Dictionary.CustomHash)","301 ms (0.3%)","281 ms (0.3%)","301 ms (0%)","281 ms (0%)","7,200,266"
"deltablue.Planner.newMark ()","298 ms (0.3%)","280 ms (0.3%)","298 ms (0%)","280 ms (0%)","7,200,560"
"deltablue.BinaryConstraint.markUnsatisfied ()","282 ms (0.3%)","278 ms (0.3%)","282 ms (0%)","278 ms (0%)","7,200,080"
"deltablue.Planner.chainTest (int)","255 ms (0.3%)","248 ms (0.3%)","49,654 ms (6.4%)","47,733 ms (6.4%)","40"
"deltablue.UnaryConstraint.recalculate ()","206 ms (0.2%)","197 ms (0.2%)","301 ms (0%)","289 ms (0%)","2,400,360"
"deltablue.UnaryConstraint.addToGraph ()","201 ms (0.2%)","195 ms (0.2%)","493 ms (0.1%)","476 ms (0.1%)","2,400,240"
"som.Vector.at (int)","196 ms (0.2%)","188 ms (0.2%)","196 ms (0%)","188 ms (0%)","4,799,920"
"deltablue.UnaryConstraint.chooseMethod (int)","191 ms (0.2%)","187 ms (0.2%)","288 ms (0%)","280 ms (0%)","2,400,480"
"java.util.Arrays.setAll (Object[], java.util.function.IntFunction)","181 ms (0.2%)","161 ms (0.2%)","367 ms (0%)","314 ms (0%)","40"
"deltablue.ScaleConstraint.inputsDo (som.ForEachInterface)","98.1 ms (0.1%)","96.5 ms (0.1%)","98.1 ms (0%)","96.5 ms (0%)","2,400,080"
"deltablue.AbstractConstraint.isInput ()","94.4 ms (0.1%)","91.7 ms (0.1%)","94.4 ms (0%)","91.7 ms (0%)","2,400,160"
"java.util.Arrays.copyOf (Object[], int, Class)","23.2 ms (0%)","23.3 ms (0%)","23.7 ms (0%)","23.7 ms (0%)","5,373"
"java.lang.String.charAt (int)","17.2 ms (0%)","14.9 ms (0%)","28.9 ms (0%)","24.8 ms (0%)","28,090"
"Run.reportBenchmark ()","16.5 ms (0%)","14.3 ms (0%)","38.5 ms (0%)","33.3 ms (0%)","1"
"java.util.Arrays.copyOf (Object[], int)","11.0 ms (0%)","10.9 ms (0%)","34.5 ms (0%)","34.4 ms (0%)","7,882"
"som.Vector.remove (Object)","7.51 ms (0%)","7.3 ms (0%)","70.4 ms (0%)","69.3 ms (0%)","400"
"java.lang.String.isLatin1 ()","6.55 ms (0%)","5.46 ms (0%)","6.55 ms (0%)","5.46 ms (0%)","31,294"
"java.lang.StringLatin1.charAt (byte[], int)","5.57 ms (0%)","4.89 ms (0%)","5.57 ms (0%)","4.89 ms (0%)","28,090"
"deltablue.Plan.execute ()","3.82 ms (0%)","3.77 ms (0%)","27,219 ms (3.5%)","26,336 ms (3.5%)","5,600"
"java.util.Arrays.copyOf (byte[], int)","3.45 ms (0%)","3.44 ms (0%)","3.56 ms (0%)","3.55 ms (0%)","396"
"deltablue.Planner.change (deltablue.Variable, int)","3.40 ms (0%)","3.41 ms (0%)","22,599 ms (2.9%)","21,918 ms (2.9%)","160"
"java.lang.ClassLoader.defineClass (String, byte[], int, int, java.security.ProtectionDomain)","3.51 ms (0%)","3.33 ms (0%)","17.6 ms (0%)","16.0 ms (0%)","38"
"java.lang.String.length ()","3.28 ms (0%)","3.22 ms (0%)","5.12 ms (0%)","4.94 ms (0%)","6,943"
"deltablue.Strength.createStrengthConstants ()","5.5 ms (0%)","2.62 ms (0%)","13.1 ms (0%)","10.2 ms (0%)","1"
"java.lang.String.coder ()","2.36 ms (0%)","2.20 ms (0%)","2.36 ms (0%)","2.20 ms (0%)","10,165"
"deltablue.Planner.incrementalRemove (deltablue.AbstractConstraint)","2.5 ms (0%)","2.6 ms (0%)","14,305 ms (1.8%)","13,839 ms (1.8%)","200"
"deltablue.Planner.extractPlanFromConstraints (som.Vector)","2.0 ms (0%)","2.1 ms (0%)","8,114 ms (1%)","7,791 ms (1%)","200"
