"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"som.Vector.forEach (som.ForEachInterface)","18,114 ms (23.7%)","18,101 ms (24.5%)","39,077 ms (5.8%)","37,887 ms (5.8%)","40,807,761"
"deltablue.EqualityConstraint.execute ()","10,983 ms (14.4%)","10,225 ms (13.8%)","10,983 ms (1.6%)","10,225 ms (1.6%)","249,600,000"
"deltablue.Planner.addPropagate (deltablue.AbstractConstraint, int)","5,702 ms (7.5%)","5,563 ms (7.5%)","18,765 ms (2.8%)","18,083 ms (2.8%)","14,400,440"
"deltablue.AbstractConstraint.satisfy (int, deltablue.Planner)","3,438 ms (4.5%)","3,316 ms (4.5%)","25,556 ms (3.8%)","24,609 ms (3.8%)","14,400,560"
"som.Vector.isEmpty ()","2,878 ms (3.8%)","2,668 ms (3.6%)","2,878 ms (0.4%)","2,668 ms (0.4%)","81,603,000"
"deltablue.BinaryConstraint.getOutput ()","2,460 ms (3.2%)","2,402 ms (3.3%)","2,460 ms (0.4%)","2,402 ms (0.4%)","74,400,720"
"som.Vector.removeFirst ()","2,225 ms (2.9%)","2,205 ms (3%)","3,423 ms (0.5%)","3,283 ms (0.5%)","33,601,080"
"deltablue.ScaleConstraint.execute ()","2,267 ms (3%)","2,181 ms (3%)","2,267 ms (0.3%)","2,181 ms (0.3%)","55,200,960"
"deltablue.Planner.makePlan (som.Vector)","2,133 ms (2.8%)","2,049 ms (2.8%)","6,872 ms (1%)","6,623 ms (1%)","200"
"som.Vector.append (Object)","2,160 ms (2.8%)","2,038 ms (2.8%)","2,209 ms (0.3%)","2,072 ms (0.3%)","60,001,928"
"deltablue.BinaryConstraint.isSatisfied ()","1,997 ms (2.6%)","1,864 ms (2.5%)","1,997 ms (0.3%)","1,864 ms (0.3%)","52,800,560"
"deltablue.Planner.addConstraintsConsumingTo (deltablue.Variable, som.Vector)","1,832 ms (2.4%)","1,712 ms (2.3%)","5,366 ms (0.8%)","5,150 ms (0.8%)","26,400,800"
"deltablue.Strength.weakest (deltablue.Strength)","1,577 ms (2.1%)","1,529 ms (2.1%)","2,373 ms (0.4%)","2,292 ms (0.4%)","24,000,240"
"deltablue.ScaleConstraint.recalculate ()","1,311 ms (1.7%)","1,278 ms (1.7%)","2,797 ms (0.4%)","2,702 ms (0.4%)","12,000,240"
"deltablue.BinaryConstraint.recalculate ()","1,230 ms (1.6%)","1,188 ms (1.6%)","2,712 ms (0.4%)","2,609 ms (0.4%)","12,000,000"
"deltablue.Planner.removePropagateFrom (deltablue.Variable)","1,145 ms (1.5%)","1,111 ms (1.5%)","8,426 ms (1.2%)","8,160 ms (1.3%)","200"
