"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"java.nio.CharBuffer.wrap (char[], int, int)","0.217 ms (0%)","0.215 ms (0%)","0.408 ms (0%)","0.394 ms (0%)","44"
"java.lang.ClassLoader.checkName (String)","0.219 ms (0%)","0.211 ms (0%)","0.889 ms (0%)","0.860 ms (0%)","98"
"java.lang.StringBuilder.append (String)","0.224 ms (0%)","0.211 ms (0%)","2.83 ms (0%)","2.56 ms (0%)","486"
"java.lang.StringLatin1.lastIndexOf (byte[], int, int)","0.201 ms (0%)","0.209 ms (0%)","0.283 ms (0%)","0.287 ms (0%)","162"
"java.io.BufferedWriter.write (String, int, int)","0.209 ms (0%)","0.205 ms (0%)","0.441 ms (0%)","0.431 ms (0%)","87"
"jdk.internal.loader.BuiltinClassLoader.defineClass (String, jdk.internal.loader.Resource)","0.278 ms (0%)","0.201 ms (0%)","26.0 ms (0%)","12.7 ms (0%)","18"
"java.lang.AbstractStringBuilder.ensureCapacityInternal (int)","0.219 ms (0%)","0.201 ms (0%)","0.552 ms (0%)","0.531 ms (0%)","779"
"java.lang.StringLatin1.indexOf (byte[], int, int)","0.198 ms (0%)","0.195 ms (0%)","0.342 ms (0%)","0.332 ms (0%)","430"
"java.util.Arrays.copyOfRange (byte[], int, int)","0.388 ms (0%)","0.192 ms (0%)","0.431 ms (0%)","0.232 ms (0%)","548"
"java.util.concurrent.ConcurrentHashMap.tabAt (java.util.concurrent.ConcurrentHashMap.Node[], int)","0.201 ms (0%)","0.191 ms (0%)","0.288 ms (0%)","0.277 ms (0%)","757"
"java.lang.String.lastIndexOf (int)","0.194 ms (0%)","0.188 ms (0%)","7.62 ms (0%)","0.871 ms (0%)","144"
"java.lang.StringLatin1.regionMatchesCI (byte[], int, byte[], int, int)","0.196 ms (0%)","0.183 ms (0%)","0.875 ms (0%)","0.602 ms (0%)","54"
"jdk.internal.loader.URLClassPath$JarLoader$2.getBytes ()","0.191 ms (0%)","0.182 ms (0%)","2.96 ms (0%)","2.76 ms (0%)","18"
"sun.net.www.protocol.jar.Handler.parseURL (java.net.URL, String, int, int)","0.200 ms (0%)","0.179 ms (0%)","10.2 ms (0%)","3.6 ms (0%)","18"
"Run.printTotal ()","0.176 ms (0%)","0.177 ms (0%)","0.295 ms (0%)","0.290 ms (0%)","1"
"java.lang.String.substring (int, int)","0.177 ms (0%)","0.175 ms (0%)","0.455 ms (0%)","0.446 ms (0%)","316"
"java.util.jar.Manifest.read (java.io.InputStream, String)","6.52 ms (0%)","0.175 ms (0%)","7.76 ms (0%)","1.38 ms (0%)","1"
"java.lang.ClassLoader.definePackage (String, String, String, String, String, String, String, java.net.URL)","1.10 ms (0%)","0.175 ms (0%)","1.13 ms (0%)","0.201 ms (0%)","1"
"jdk.internal.loader.BuiltinClassLoader.findClassOnClassPathOrNull (String)","0.196 ms (0%)","0.173 ms (0%)","42.9 ms (0%)","21.2 ms (0%)","18"
"java.util.Arrays.copyOf (Object[], int, Class)","0.176 ms (0%)","0.171 ms (0%)","0.220 ms (0%)","0.209 ms (0%)","314"
"java.lang.StringConcatHelper.simpleConcat (Object, Object)","0.384 ms (0%)","0.170 ms (0%)","0.942 ms (0%)","0.720 ms (0%)","19"
