"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"Queens.placeQueen (int)","163,430 ms (56.4%)","159,155 ms (56.1%)","2,317,287 ms (12.4%)","2,311,142 ms (12.4%)","226,000,000"
"Queens.getRowColumn (int, int)","100,891 ms (34.8%)","99,655 ms (35.2%)","100,891 ms (0.5%)","99,655 ms (0.5%)","1,752,000,000"
"Queens.setRowColumn (int, int, boolean)","23,895 ms (8.2%)","23,060 ms (8.1%)","23,895 ms (0.1%)","23,060 ms (0.1%)","436,000,000"
"Queens.queens ()","798 ms (0.3%)","779 ms (0.3%)","2,318,602 ms (12.4%)","2,312,411 ms (12.4%)","2,000,000"
"java.util.Arrays.fill (boolean[], boolean)","388 ms (0.1%)","365 ms (0.1%)","388 ms (0%)","365 ms (0%)","6,000,000"
"Queens.benchmark ()","201 ms (0.1%)","202 ms (0.1%)","2,318,818 ms (12.4%)","2,312,627 ms (12.4%)","200,000"
"java.util.Arrays.fill (int[], int)","127 ms (0%)","122 ms (0%)","127 ms (0%)","122 ms (0%)","2,000,000"
"Benchmark.innerBenchmarkLoop (int)","78.5 ms (0%)","79.0 ms (0%)","2,318,912 ms (12.4%)","2,312,721 ms (12.4%)","40"
"Queens.verifyResult (Object)","15.5 ms (0%)","14.8 ms (0%)","15.5 ms (0%)","14.8 ms (0%)","200,000"
"java.lang.Boolean.valueOf (boolean)","14.0 ms (0%)","13.7 ms (0%)","14.0 ms (0%)","13.7 ms (0%)","200,000"
"Run.reportBenchmark ()","7.57 ms (0%)","7.63 ms (0%)","17.8 ms (0%)","17.4 ms (0%)","1"
"java.lang.String.charAt (int)","3.62 ms (0%)","3.45 ms (0%)","5.95 ms (0%)","5.71 ms (0%)","13,738"
"Run.printResult (long)","1.68 ms (0%)","1.70 ms (0%)","5.80 ms (0%)","5.74 ms (0%)","40"
"java.lang.String.isLatin1 ()","1.30 ms (0%)","1.23 ms (0%)","1.30 ms (0%)","1.23 ms (0%)","15,048"
"java.lang.StringLatin1.charAt (byte[], int)","1.16 ms (0%)","1.13 ms (0%)","1.16 ms (0%)","1.13 ms (0%)","13,738"
"Run.getSuiteFromName (String)","1.10 ms (0%)","1.9 ms (0%)","2.85 ms (0%)","2.74 ms (0%)","1"
"java.lang.ClassLoader.defineClass (String, byte[], int, int, java.security.ProtectionDomain)","0.851 ms (0%)","0.842 ms (0%)","2.28 ms (0%)","2.20 ms (0%)","16"
"java.io.FileOutputStream.write (byte[], int, int)","0.818 ms (0%)","0.794 ms (0%)","0.839 ms (0%)","0.812 ms (0%)","44"
"java.lang.String.length ()","0.725 ms (0%)","0.697 ms (0%)","1.9 ms (0%)","1.4 ms (0%)","3,252"
"Run.runBenchmark ()","1.12 ms (0%)","0.668 ms (0%)","2,318,939 ms (12.4%)","2,312,747 ms (12.4%)","1"
"java.util.concurrent.ConcurrentHashMap.get (Object)","0.578 ms (0%)","0.576 ms (0%)","1.2 ms (0%)","1.0 ms (0%)","373"
"java.util.concurrent.ConcurrentHashMap.tabAt (java.util.concurrent.ConcurrentHashMap.Node[], int)","0.547 ms (0%)","0.519 ms (0%)","0.769 ms (0%)","0.746 ms (0%)","1,330"
"java.lang.String.coder ()","0.476 ms (0%)","0.449 ms (0%)","0.476 ms (0%)","0.449 ms (0%)","4,638"
"java.util.zip.Inflater.inflate (byte[], int, int)","0.412 ms (0%)","0.409 ms (0%)","0.492 ms (0%)","0.486 ms (0%)","47"
"java.util.concurrent.ConcurrentHashMap.transfer (java.util.concurrent.ConcurrentHashMap.Node[], java.util.concurrent.ConcurrentHashMap.Node[])","0.358 ms (0%)","0.365 ms (0%)","1.2 ms (0%)","1.1 ms (0%)","2"
"java.lang.String.hashCode ()","0.416 ms (0%)","0.362 ms (0%)","0.532 ms (0%)","0.476 ms (0%)","2,253"
"java.lang.ClassLoader.findBootstrapClassOrNull (String)","0.350 ms (0%)","0.356 ms (0%)","0.521 ms (0%)","0.516 ms (0%)","30"
"sun.nio.cs.UTF_8$Encoder.encodeArrayLoop (java.nio.CharBuffer, java.nio.ByteBuffer)","0.368 ms (0%)","0.356 ms (0%)","0.852 ms (0%)","0.817 ms (0%)","44"
"Run.measure (Benchmark)","0.321 ms (0%)","0.328 ms (0%)","2,318,918 ms (12.4%)","2,312,727 ms (12.4%)","40"
"java.io.PrintStream.println (String)","0.307 ms (0%)","0.301 ms (0%)","5.29 ms (0%)","5.7 ms (0%)","43"
"Harness.processArguments (String[])","0.618 ms (0%)","0.294 ms (0%)","18.0 ms (0%)","16.8 ms (0%)","1"
"java.lang.AbstractStringBuilder.putStringAt (int, String, int, int)","0.290 ms (0%)","0.289 ms (0%)","0.651 ms (0%)","0.647 ms (0%)","440"
"java.lang.AbstractStringBuilder.append (String)","0.291 ms (0%)","0.288 ms (0%)","1.82 ms (0%)","1.78 ms (0%)","440"
"java.util.concurrent.ConcurrentHashMap.putVal (Object, Object, boolean)","0.299 ms (0%)","0.287 ms (0%)","1.58 ms (0%)","1.55 ms (0%)","105"
"java.io.PrintStream.writeln (String)","0.276 ms (0%)","0.263 ms (0%)","4.93 ms (0%)","4.73 ms (0%)","43"
"Run.lambda$getSuiteFromName$9 ()","0.263 ms (0%)","0.252 ms (0%)","0.263 ms (0%)","0.252 ms (0%)","1"
"java.util.Arrays.copyOf (byte[], int)","0.248 ms (0%)","0.250 ms (0%)","0.260 ms (0%)","0.260 ms (0%)","147"
"java.nio.CharBuffer.wrap (char[], int, int)","0.232 ms (0%)","0.227 ms (0%)","0.455 ms (0%)","0.439 ms (0%)","44"
"java.util.zip.ZipFile.getInputStream (java.util.zip.ZipEntry)","0.251 ms (0%)","0.226 ms (0%)","0.944 ms (0%)","0.868 ms (0%)","16"
"jdk.internal.loader.URLClassPath$JarLoader.checkResource (String, boolean, java.util.jar.JarEntry)","0.227 ms (0%)","0.220 ms (0%)","2.73 ms (0%)","2.61 ms (0%)","16"
"jdk.internal.misc.Unsafe.getReferenceAcquire (Object, long)","0.210 ms (0%)","0.214 ms (0%)","0.210 ms (0%)","0.214 ms (0%)","1,310"
