"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"List.tail (List.Element, List.Element, List.Element)","179,687 ms (71.7%)","176,504 ms (72.3%)","2,277,552 ms (16.6%)","2,271,347 ms (16.6%)","1,123,600,000"
"List.isShorterThan (List.Element, List.Element)","68,794 ms (27.5%)","65,571 ms (26.9%)","68,794 ms (0.5%)","65,571 ms (0.5%)","1,123,600,000"
"List.makeList (int)","1,406 ms (0.6%)","1,369 ms (0.6%)","1,406 ms (0%)","1,369 ms (0%)","13,600,000"
"List$Element.length ()","403 ms (0.2%)","393 ms (0.2%)","403 ms (0%)","393 ms (0%)","4,000,000"
"List.benchmark ()","181 ms (0.1%)","179 ms (0.1%)","2,279,543 ms (16.6%)","2,273,289 ms (16.6%)","400,000"
"Benchmark.innerBenchmarkLoop (int)","92.6 ms (0%)","93.1 ms (0%)","2,279,658 ms (16.6%)","2,273,403 ms (16.6%)","40"
"List.verifyResult (Object)","22.1 ms (0%)","20.7 ms (0%)","22.1 ms (0%)","20.7 ms (0%)","400,000"
"Run.reportBenchmark ()","7.54 ms (0%)","5.55 ms (0%)","7.54 ms (0%)","5.55 ms (0%)","1"
"Run.printResult (long)","3.61 ms (0%)","3.60 ms (0%)","3.61 ms (0%)","3.60 ms (0%)","40"
"Harness.processArguments (String[])","2.39 ms (0%)","2.35 ms (0%)","2.84 ms (0%)","2.80 ms (0%)","1"
"Run.getSuiteFromName (String)","0.449 ms (0%)","0.450 ms (0%)","0.449 ms (0%)","0.450 ms (0%)","1"
"Run.runBenchmark ()","0.459 ms (0%)","0.430 ms (0%)","2,279,670 ms (16.6%)","2,273,413 ms (16.6%)","1"
"Run.measure (Benchmark)","0.277 ms (0%)","0.268 ms (0%)","2,279,662 ms (16.6%)","2,273,407 ms (16.6%)","40"
"Run.printTotal ()","0.205 ms (0%)","0.198 ms (0%)","0.205 ms (0%)","0.198 ms (0%)","1"
"Run.lambda$getSuiteFromName$5 ()","0.132 ms (0%)","0.124 ms (0%)","0.132 ms (0%)","0.124 ms (0%)","1"
"Run.doRuns (Benchmark)","0.026 ms (0%)","0.025 ms (0%)","2,279,662 ms (16.6%)","2,273,407 ms (16.6%)","1"
