"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"som.Vector.removeAll ()","72.6 ms (0.1%)","71.9 ms (0.1%)","72.6 ms (0%)","71.9 ms (0%)","1,204,080"
"som.Dictionary.transferEntries (som.Dictionary.Entry[])","60.4 ms (0%)","60.4 ms (0%)","62.1 ms (0%)","62.1 ms (0%)","18,360"
"havlak.LoopTesterApp.addDummyLoops (int)","41.6 ms (0%)","39.7 ms (0%)","40,841 ms (2.7%)","39,059 ms (2.7%)","40"
"havlak.LoopTesterApp.buildConnect (int, int)","41.4 ms (0%)","35.7 ms (0%)","223 ms (0%)","198 ms (0%)","153,080"
"havlak.LoopTesterApp.buildDiamond (int)","33.4 ms (0%)","32.5 ms (0%)","207 ms (0%)","201 ms (0%)","40,080"
"som.Dictionary.removeAll ()","29.6 ms (0%)","29.0 ms (0%)","29.6 ms (0%)","29.0 ms (0%)","602,040"
"java.util.Arrays.copyOf (Object[], int)","30.1 ms (0%)","25.0 ms (0%)","35.2 ms (0%)","30.0 ms (0%)","61,042"
"havlak.BasicBlock.addInEdge (havlak.BasicBlock)","24.2 ms (0%)","24.0 ms (0%)","37.0 ms (0%)","36.1 ms (0%)","313,440"
"havlak.BasicBlock.addOutEdge (havlak.BasicBlock)","24.7 ms (0%)","23.9 ms (0%)","37.5 ms (0%)","36.1 ms (0%)","313,440"
"havlak.ControlFlowGraph.addEdge (havlak.BasicBlockEdge)","24.0 ms (0%)","23.8 ms (0%)","37.0 ms (0%)","36.2 ms (0%)","313,440"
"java.lang.String.charAt (int)","47.5 ms (0%)","11.5 ms (0%)","74.8 ms (0%)","19.1 ms (0%)","30,329"
"som.Dictionary.resize ()","16.1 ms (0%)","11.3 ms (0%)","78.2 ms (0%)","73.5 ms (0%)","18,360"
"havlak.LoopTesterApp.main (int, int, int, int, int)","9.89 ms (0%)","9.95 ms (0%)","133,771 ms (8.9%)","129,267 ms (8.9%)","40"
"som.Vector.atPut (int, Object)","8.93 ms (0%)","8.47 ms (0%)","9.14 ms (0%)","8.69 ms (0%)","208,520"
"havlak.LoopTesterApp.buildBaseLoop (int)","8.36 ms (0%)","8.33 ms (0%)","427 ms (0%)","397 ms (0%)","20,040"
"havlak.LoopTesterApp.buildStraight (int, int)","7.1 ms (0%)","6.63 ms (0%)","138 ms (0%)","121 ms (0%)","88,160"
"java.util.Arrays.copyOf (Object[], int, Class)","7.4 ms (0%)","5.11 ms (0%)","7.31 ms (0%)","5.35 ms (0%)","5,393"
"java.lang.String.isLatin1 ()","17.2 ms (0%)","3.92 ms (0%)","17.2 ms (0%)","3.92 ms (0%)","33,556"
"java.lang.StringLatin1.charAt (byte[], int)","11.1 ms (0%)","3.63 ms (0%)","11.1 ms (0%)","3.63 ms (0%)","30,329"
"havlak.LoopTesterApp.constructCFG (int, int, int)","3.44 ms (0%)","3.50 ms (0%)","437 ms (0%)","416 ms (0%)","40"
"Run.reportBenchmark ()","3.39 ms (0%)","2.78 ms (0%)","31.8 ms (0%)","25.0 ms (0%)","1"
"java.lang.ClassLoader.defineClass (String, byte[], int, int, java.security.ProtectionDomain)","2.74 ms (0%)","2.70 ms (0%)","14.0 ms (0%)","7.85 ms (0%)","36"
"java.lang.System$2.defineClass (ClassLoader, Class, String, byte[], java.security.ProtectionDomain, boolean, int, Object)","2.54 ms (0%)","2.37 ms (0%)","2.55 ms (0%)","2.39 ms (0%)","27"
"java.lang.String.length ()","18.9 ms (0%)","1.73 ms (0%)","20.1 ms (0%)","2.63 ms (0%)","6,869"
"som.Dictionary.splitBucket (som.Dictionary.Entry[], int, som.Dictionary.Entry)","1.76 ms (0%)","1.70 ms (0%)","1.76 ms (0%)","1.70 ms (0%)","18,360"
"java.lang.Math.max (int, int)","6.49 ms (0%)","1.64 ms (0%)","6.49 ms (0%)","1.64 ms (0%)","14,864"
"Run.printResult (long)","1.52 ms (0%)","1.52 ms (0%)","5.32 ms (0%)","5.29 ms (0%)","40"
"jdk.internal.org.objectweb.asm.ByteVector.putUTF8 (String)","2.12 ms (0%)","1.42 ms (0%)","10.3 ms (0%)","6.74 ms (0%)","741"
"havlak.LoopStructureGraph.calculateNestingLevel ()","1.36 ms (0%)","1.35 ms (0%)","21,672 ms (1.4%)","21,587 ms (1.5%)","40"
"java.util.concurrent.ConcurrentHashMap.get (Object)","1.89 ms (0%)","1.29 ms (0%)","3.83 ms (0%)","2.73 ms (0%)","735"
"Havlak.innerBenchmarkLoop (int)","3.84 ms (0%)","1.9 ms (0%)","133,783 ms (8.9%)","129,275 ms (8.9%)","40"
"java.lang.String.coder ()","1.41 ms (0%)","1.2 ms (0%)","1.41 ms (0%)","1.2 ms (0%)","10,007"
"java.util.zip.Inflater.inflate (byte[], int, int)","1.15 ms (0%)","0.999 ms (0%)","1.35 ms (0%)","1.19 ms (0%)","103"
"Run.getSuiteFromName (String)","0.963 ms (0%)","0.952 ms (0%)","2.33 ms (0%)","2.26 ms (0%)","1"
"java.util.concurrent.ConcurrentHashMap.tabAt (java.util.concurrent.ConcurrentHashMap.Node[], int)","1.20 ms (0%)","0.872 ms (0%)","1.63 ms (0%)","1.27 ms (0%)","1,857"
"java.lang.AbstractStringBuilder.append (String)","0.994 ms (0%)","0.828 ms (0%)","23.8 ms (0%)","5.28 ms (0%)","1,037"
"java.lang.String.hashCode ()","0.883 ms (0%)","0.814 ms (0%)","1.37 ms (0%)","1.15 ms (0%)","4,444"
"java.lang.invoke.MemberName$Factory.resolve (byte, java.lang.invoke.MemberName, Class, int, boolean)","0.812 ms (0%)","0.807 ms (0%)","1.53 ms (0%)","1.51 ms (0%)","100"
"java.lang.AbstractStringBuilder.putStringAt (int, String, int, int)","1.1 ms (0%)","0.804 ms (0%)","2.19 ms (0%)","1.70 ms (0%)","1,037"
"java.io.FileOutputStream.write (byte[], int, int)","0.710 ms (0%)","0.713 ms (0%)","0.724 ms (0%)","0.726 ms (0%)","44"
"java.util.concurrent.ConcurrentHashMap.putVal (Object, Object, boolean)","0.970 ms (0%)","0.711 ms (0%)","3.61 ms (0%)","3.31 ms (0%)","258"
"java.lang.ClassLoader.findBootstrapClassOrNull (String)","0.841 ms (0%)","0.695 ms (0%)","1.11 ms (0%)","0.965 ms (0%)","51"
"jdk.internal.org.objectweb.asm.SymbolTable.addConstantUtf8 (String)","4.18 ms (0%)","0.629 ms (0%)","15.1 ms (0%)","7.99 ms (0%)","1,041"
