"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"deltablue.Planner.newMark ()","366 ms (0.3%)","354 ms (0.3%)","366 ms (0%)","354 ms (0%)","7,200,560"
"deltablue.Planner.chainTest (int)","304 ms (0.3%)","295 ms (0.3%)","64,386 ms (6.6%)","62,626 ms (6.6%)","40"
"deltablue.UnaryConstraint.addToGraph ()","253 ms (0.2%)","250 ms (0.2%)","626 ms (0.1%)","613 ms (0.1%)","2,400,240"
"deltablue.UnaryConstraint.recalculate ()","248 ms (0.2%)","239 ms (0.2%)","374 ms (0%)","360 ms (0%)","2,400,360"
"deltablue.UnaryConstraint.chooseMethod (int)","252 ms (0.2%)","238 ms (0.2%)","372 ms (0%)","355 ms (0%)","2,400,480"
"som.Vector.at (int)","240 ms (0.2%)","236 ms (0.2%)","240 ms (0%)","236 ms (0%)","4,799,920"
"java.util.Arrays.setAll (Object[], java.util.function.IntFunction)","206 ms (0.2%)","182 ms (0.2%)","396 ms (0%)","340 ms (0%)","40"
"deltablue.ScaleConstraint.inputsDo (som.ForEachInterface)","125 ms (0.1%)","122 ms (0.1%)","125 ms (0%)","122 ms (0%)","2,400,080"
"deltablue.AbstractConstraint.isInput ()","126 ms (0.1%)","120 ms (0.1%)","126 ms (0%)","120 ms (0%)","2,400,160"
"java.util.Arrays.copyOf (Object[], int, Class)","25.4 ms (0%)","25.4 ms (0%)","25.9 ms (0%)","25.8 ms (0%)","5,378"
"java.util.Arrays.copyOf (Object[], int)","11.4 ms (0%)","11.4 ms (0%)","37.2 ms (0%)","37.1 ms (0%)","7,882"
"Run.reportBenchmark ()","15.3 ms (0%)","10.4 ms (0%)","24.7 ms (0%)","18.6 ms (0%)","1"
"som.Vector.remove (Object)","7.89 ms (0%)","7.84 ms (0%)","71.9 ms (0%)","71.3 ms (0%)","400"
"java.lang.String.charAt (int)","9.18 ms (0%)","7.46 ms (0%)","14.7 ms (0%)","12.3 ms (0%)","28,092"
"deltablue.Plan.execute ()","4.40 ms (0%)","4.29 ms (0%)","35,096 ms (3.6%)","34,320 ms (3.6%)","5,600"
"deltablue.Planner.change (deltablue.Variable, int)","3.84 ms (0%)","3.88 ms (0%)","26,303 ms (2.7%)","25,649 ms (2.7%)","160"
"java.lang.ClassLoader.defineClass (String, byte[], int, int, java.security.ProtectionDomain)","3.28 ms (0%)","3.9 ms (0%)","7.63 ms (0%)","6.99 ms (0%)","38"
"deltablue.Planner.incrementalRemove (deltablue.AbstractConstraint)","2.64 ms (0%)","2.66 ms (0%)","17,651 ms (1.8%)","17,184 ms (1.8%)","200"
"java.lang.String.isLatin1 ()","2.60 ms (0%)","2.51 ms (0%)","2.60 ms (0%)","2.51 ms (0%)","31,304"
"java.lang.StringLatin1.charAt (byte[], int)","3.0 ms (0%)","2.41 ms (0%)","3.0 ms (0%)","2.41 ms (0%)","28,092"
"deltablue.Planner.extractPlanFromConstraints (som.Vector)","2.45 ms (0%)","2.40 ms (0%)","9,639 ms (1%)","9,385 ms (1%)","200"
"deltablue.Strength.createStrengthConstants ()","1.86 ms (0%)","1.90 ms (0%)","4.51 ms (0%)","4.47 ms (0%)","1"
"Run.printResult (long)","1.67 ms (0%)","1.68 ms (0%)","5.87 ms (0%)","5.82 ms (0%)","40"
"java.util.concurrent.ConcurrentHashMap.get (Object)","1.22 ms (0%)","1.24 ms (0%)","2.2 ms (0%)","1.98 ms (0%)","761"
"java.lang.String.length ()","1.27 ms (0%)","1.11 ms (0%)","1.91 ms (0%)","1.70 ms (0%)","6,951"
"java.util.zip.Inflater.inflate (byte[], int, int)","0.912 ms (0%)","0.891 ms (0%)","1.8 ms (0%)","1.5 ms (0%)","107"
"Run.getSuiteFromName (String)","0.871 ms (0%)","0.854 ms (0%)","1.96 ms (0%)","1.84 ms (0%)","1"
"java.io.FileOutputStream.write (byte[], int, int)","0.855 ms (0%)","0.840 ms (0%)","0.869 ms (0%)","0.854 ms (0%)","44"
"java.lang.String.hashCode ()","0.908 ms (0%)","0.802 ms (0%)","1.19 ms (0%)","1.7 ms (0%)","4,390"
"java.lang.ClassLoader.findBootstrapClassOrNull (String)","0.736 ms (0%)","0.744 ms (0%)","0.933 ms (0%)","0.939 ms (0%)","52"
"java.lang.String.coder ()","0.695 ms (0%)","0.603 ms (0%)","0.695 ms (0%)","0.603 ms (0%)","10,175"
"java.lang.AbstractStringBuilder.putStringAt (int, String, int, int)","0.597 ms (0%)","0.594 ms (0%)","1.32 ms (0%)","1.28 ms (0%)","1,046"
"java.util.concurrent.ConcurrentHashMap.putVal (Object, Object, boolean)","0.588 ms (0%)","0.586 ms (0%)","1.21 ms (0%)","1.17 ms (0%)","245"
"java.lang.AbstractStringBuilder.append (String)","0.609 ms (0%)","0.583 ms (0%)","3.81 ms (0%)","3.67 ms (0%)","1,046"
"deltablue.AbstractConstraint.destroyConstraint (deltablue.Planner)","0.727 ms (0%)","0.549 ms (0%)","17,688 ms (1.8%)","17,220 ms (1.8%)","200"
"java.util.zip.ZipFile.getInputStream (java.util.zip.ZipEntry)","0.450 ms (0%)","0.450 ms (0%)","1.88 ms (0%)","1.65 ms (0%)","39"
"Run.runBenchmark ()","0.457 ms (0%)","0.445 ms (0%)","109,763 ms (11.3%)","106,842 ms (11.3%)","1"
"java.lang.Math.min (int, int)","0.566 ms (0%)","0.436 ms (0%)","0.566 ms (0%)","0.436 ms (0%)","7,142"
"deltablue.Variable.removeConstraint (deltablue.AbstractConstraint)","1.5 ms (0%)","0.436 ms (0%)","73.0 ms (0%)","71.7 ms (0%)","400"
"java.lang.String.substring (int, int)","0.552 ms (0%)","0.422 ms (0%)","1.40 ms (0%)","1.24 ms (0%)","712"
"jdk.internal.loader.URLClassPath$JarLoader.checkResource (String, boolean, java.util.jar.JarEntry)","0.407 ms (0%)","0.406 ms (0%)","5.74 ms (0%)","5.3 ms (0%)","38"
"Run.measure (Benchmark)","0.400 ms (0%)","0.402 ms (0%)","109,737 ms (11.3%)","106,822 ms (11.3%)","40"
"java.lang.StringLatin1.indexOf (byte[], int, int)","0.402 ms (0%)","0.394 ms (0%)","0.685 ms (0%)","0.668 ms (0%)","923"
"deltablue.UnaryConstraint.removeFromGraph ()","0.412 ms (0%)","0.393 ms (0%)","73.4 ms (0%)","72.1 ms (0%)","400"
"java.util.Arrays.copyOfRange (byte[], int, int)","0.378 ms (0%)","0.378 ms (0%)","0.470 ms (0%)","0.463 ms (0%)","1,201"
"java.lang.String.indexOf (int, int)","0.379 ms (0%)","0.371 ms (0%)","1.22 ms (0%)","1.19 ms (0%)","923"
"java.lang.StringLatin1.replace (byte[], char, char)","0.369 ms (0%)","0.369 ms (0%)","0.786 ms (0%)","0.781 ms (0%)","308"
"som.Vector.sort (java.util.Comparator)","0.368 ms (0%)","0.361 ms (0%)","0.497 ms (0%)","0.483 ms (0%)","200"
"java.lang.AbstractStringBuilder.putStringAt (int, String)","0.357 ms (0%)","0.358 ms (0%)","2.1 ms (0%)","1.94 ms (0%)","1,046"
"sun.nio.cs.UTF_8$Encoder.encodeArrayLoop (java.nio.CharBuffer, java.nio.ByteBuffer)","0.358 ms (0%)","0.351 ms (0%)","0.724 ms (0%)","0.706 ms (0%)","44"
"java.lang.AbstractStringBuilder.ensureCapacityInternal (int)","0.351 ms (0%)","0.349 ms (0%)","0.918 ms (0%)","0.875 ms (0%)","1,760"
"java.lang.StringLatin1.newString (byte[], int, int)","0.346 ms (0%)","0.345 ms (0%)","0.864 ms (0%)","0.854 ms (0%)","1,156"
"DeltaBlue.innerBenchmarkLoop (int)","0.350 ms (0%)","0.341 ms (0%)","109,730 ms (11.3%)","106,815 ms (11.3%)","40"
"java.lang.String.getBytes (byte[], int, int, byte, int)","0.330 ms (0%)","0.335 ms (0%)","0.441 ms (0%)","0.433 ms (0%)","1,046"
"java.lang.ref.Cleaner.register (Object, Runnable)","0.329 ms (0%)","0.331 ms (0%)","0.621 ms (0%)","0.613 ms (0%)","71"
"java.util.concurrent.ConcurrentHashMap.tabAt (java.util.concurrent.ConcurrentHashMap.Node[], int)","0.314 ms (0%)","0.301 ms (0%)","0.450 ms (0%)","0.428 ms (0%)","1,337"
"java.lang.AbstractStringBuilder.append (char)","0.290 ms (0%)","0.293 ms (0%)","0.500 ms (0%)","0.490 ms (0%)","586"
"jdk.internal.loader.BuiltinClassLoader.loadClassOrNull (String, boolean)","0.299 ms (0%)","0.291 ms (0%)","29.1 ms (0%)","27.2 ms (0%)","86"
"java.lang.String.equals (Object)","0.316 ms (0%)","0.287 ms (0%)","0.440 ms (0%)","0.403 ms (0%)","1,587"
"Harness.processArguments (String[])","0.589 ms (0%)","0.276 ms (0%)","13.9 ms (0%)","12.8 ms (0%)","1"
"java.util.zip.ZipFile.getZipEntry (String, int)","0.273 ms (0%)","0.272 ms (0%)","0.810 ms (0%)","0.796 ms (0%)","38"
"java.util.Objects.requireNonNull (Object)","0.356 ms (0%)","0.272 ms (0%)","0.356 ms (0%)","0.272 ms (0%)","2,277"
"java.lang.StringBuilder.append (String)","0.339 ms (0%)","0.261 ms (0%)","4.19 ms (0%)","3.97 ms (0%)","1,046"
"java.io.PrintStream.println (String)","0.263 ms (0%)","0.260 ms (0%)","4.91 ms (0%)","4.77 ms (0%)","43"
"java.io.RandomAccessFile.read (byte[], int, int)","0.256 ms (0%)","0.258 ms (0%)","0.256 ms (0%)","0.258 ms (0%)","78"
"java.nio.CharBuffer.wrap (char[], int, int)","0.253 ms (0%)","0.249 ms (0%)","0.476 ms (0%)","0.465 ms (0%)","44"
