"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"Towers.moveDisks (int, int, int)","103,874 ms (38.1%)","101,720 ms (38.4%)","2,301,298 ms (14.1%)","2,293,867 ms (14.1%)","819,100,000"
"Towers.moveTopDisk (int, int)","104,782 ms (38.4%)","101,357 ms (38.3%)","168,353 ms (1%)","162,875 ms (1%)","819,100,000"
"Towers.popDiskFrom (int)","32,586 ms (12%)","31,491 ms (11.9%)","32,586 ms (0.2%)","31,491 ms (0.2%)","819,100,000"
"Towers.pushDisk (Towers.TowersDisk, int)","31,046 ms (11.4%)","30,080 ms (11.4%)","31,046 ms (0.2%)","30,080 ms (0.2%)","820,500,000"
"Benchmark.innerBenchmarkLoop (int)","73.8 ms (0%)","74.4 ms (0%)","2,301,559 ms (14.1%)","2,294,116 ms (14.1%)","40"
"Towers.buildTowerAt (int, int)","69.8 ms (0%)","67.9 ms (0%)","131 ms (0%)","121 ms (0%)","100,000"
"Towers.benchmark ()","40.6 ms (0%)","39.3 ms (0%)","2,301,479 ms (14.1%)","2,294,035 ms (14.1%)","100,000"
"Run.reportBenchmark ()","8.37 ms (0%)","8.45 ms (0%)","17.7 ms (0%)","16.8 ms (0%)","1"
"java.lang.Integer.valueOf (int)","6.58 ms (0%)","6.67 ms (0%)","6.58 ms (0%)","6.67 ms (0%)","100,002"
"Towers.verifyResult (Object)","6.34 ms (0%)","5.92 ms (0%)","6.34 ms (0%)","5.92 ms (0%)","100,000"
"java.lang.String.charAt (int)","3.93 ms (0%)","3.12 ms (0%)","6.19 ms (0%)","5.29 ms (0%)","13,791"
"Run.printResult (long)","1.45 ms (0%)","1.46 ms (0%)","5.43 ms (0%)","5.39 ms (0%)","40"
"java.lang.String.isLatin1 ()","1.25 ms (0%)","1.17 ms (0%)","1.25 ms (0%)","1.17 ms (0%)","15,109"
"java.lang.StringLatin1.charAt (byte[], int)","1.11 ms (0%)","1.6 ms (0%)","1.11 ms (0%)","1.6 ms (0%)","13,791"
"java.lang.ClassLoader.defineClass (String, byte[], int, int, java.security.ProtectionDomain)","0.996 ms (0%)","0.970 ms (0%)","2.75 ms (0%)","2.37 ms (0%)","17"
"java.io.FileOutputStream.write (byte[], int, int)","1.9 ms (0%)","0.669 ms (0%)","1.10 ms (0%)","0.680 ms (0%)","44"
