"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"som.Dictionary.hash (som.Dictionary.CustomHash)","6.74 ms (0.3%)","6.28 ms (0.3%)","6.74 ms (0%)","6.28 ms (0%)","180,032"
"som.IdentityDictionary$IdEntry.match (int, Object)","6.54 ms (0.3%)","6.27 ms (0.3%)","6.54 ms (0%)","6.27 ms (0%)","180,008"
"deltablue.BinaryConstraint.markUnsatisfied ()","6.27 ms (0.3%)","6.8 ms (0.3%)","6.27 ms (0%)","6.8 ms (0%)","180,002"
"deltablue.UnaryConstraint.recalculate ()","5.13 ms (0.2%)","4.93 ms (0.2%)","7.26 ms (0%)","6.96 ms (0%)","60,009"
"som.Vector.at (int)","4.92 ms (0.2%)","4.49 ms (0.2%)","4.92 ms (0%)","4.49 ms (0%)","119,998"
"deltablue.UnaryConstraint.chooseMethod (int)","4.55 ms (0.2%)","4.46 ms (0.2%)","6.72 ms (0%)","6.54 ms (0%)","60,012"
"deltablue.UnaryConstraint.addToGraph ()","4.9 ms (0.2%)","4.2 ms (0.2%)","10.7 ms (0.1%)","10.4 ms (0.1%)","60,006"
"deltablue.Strength.absoluteWeakest ()","4.32 ms (0.2%)","3.94 ms (0.2%)","4.32 ms (0%)","3.94 ms (0%)","120,007"
"java.lang.ClassLoader.defineClass (String, byte[], int, int, java.security.ProtectionDomain)","2.98 ms (0.1%)","2.93 ms (0.1%)","9.94 ms (0.1%)","9.37 ms (0%)","38"
"deltablue.ScaleConstraint.inputsDo (som.ForEachInterface)","2.71 ms (0.1%)","2.59 ms (0.1%)","2.71 ms (0%)","2.59 ms (0%)","60,002"
"java.lang.String.isLatin1 ()","2.96 ms (0.1%)","2.58 ms (0.1%)","2.96 ms (0%)","2.58 ms (0%)","30,996"
"java.lang.StringLatin1.charAt (byte[], int)","2.44 ms (0.1%)","2.38 ms (0.1%)","2.44 ms (0%)","2.38 ms (0%)","27,890"
"deltablue.AbstractConstraint.isInput ()","2.12 ms (0.1%)","2.2 ms (0.1%)","2.12 ms (0%)","2.2 ms (0%)","60,004"
"deltablue.Strength.createStrengthConstants ()","1.79 ms (0.1%)","1.79 ms (0.1%)","5.13 ms (0%)","5.4 ms (0%)","1"
"som.Vector.remove (Object)","1.68 ms (0.1%)","1.69 ms (0.1%)","5.71 ms (0%)","5.67 ms (0%)","10"
"java.lang.String.length ()","1.65 ms (0.1%)","1.52 ms (0.1%)","2.44 ms (0%)","2.28 ms (0%)","6,581"
"java.util.Arrays.copyOf (Object[], int, Class)","1.27 ms (0.1%)","1.26 ms (0.1%)","1.39 ms (0%)","1.37 ms (0%)","521"
"java.util.concurrent.ConcurrentHashMap.get (Object)","1.78 ms (0.1%)","1.23 ms (0.1%)","2.65 ms (0%)","2.8 ms (0%)","749"
"java.util.zip.Inflater.inflate (byte[], int, int)","1.12 ms (0.1%)","1.10 ms (0.1%)","1.34 ms (0%)","1.32 ms (0%)","107"
"deltablue.Planner.incrementalRemove (deltablue.AbstractConstraint)","1.10 ms (0%)","1.10 ms (0.1%)","401 ms (2%)","391 ms (2.1%)","5"
"Run.getSuiteFromName (String)","1.6 ms (0%)","1.5 ms (0%)","2.85 ms (0%)","2.76 ms (0%)","1"
"deltablue.Planner.extractPlanFromConstraints (som.Vector)","1.18 ms (0.1%)","0.925 ms (0%)","225 ms (1.1%)","211 ms (1.1%)","5"
"deltablue.Plan.execute ()","1.66 ms (0.1%)","0.900 ms (0%)","642 ms (3.3%)","611 ms (3.2%)","140"
"java.lang.String.coder ()","0.887 ms (0%)","0.864 ms (0%)","0.887 ms (0%)","0.864 ms (0%)","9,623"
"java.lang.String.hashCode ()","0.911 ms (0%)","0.834 ms (0%)","1.25 ms (0%)","1.15 ms (0%)","4,358"
"java.lang.AbstractStringBuilder.append (String)","0.881 ms (0%)","0.791 ms (0%)","4.92 ms (0%)","4.69 ms (0%)","1,034"
"java.lang.AbstractStringBuilder.putStringAt (int, String, int, int)","0.743 ms (0%)","0.744 ms (0%)","1.62 ms (0%)","1.58 ms (0%)","1,034"
"java.lang.ClassLoader.findBootstrapClassOrNull (String)","0.718 ms (0%)","0.728 ms (0%)","1.3 ms (0%)","1.3 ms (0%)","52"
"Run.runBenchmark ()","0.671 ms (0%)","0.662 ms (0%)","2,222 ms (11.3%)","2,130 ms (11.3%)","1"
"java.util.concurrent.ConcurrentHashMap.putVal (Object, Object, boolean)","0.677 ms (0%)","0.658 ms (0%)","1.42 ms (0%)","1.39 ms (0%)","240"
"java.util.zip.ZipFile.getInputStream (java.util.zip.ZipEntry)","0.512 ms (0%)","0.509 ms (0%)","2.20 ms (0%)","1.95 ms (0%)","39"
"java.lang.String.substring (int, int)","0.501 ms (0%)","0.494 ms (0%)","1.47 ms (0%)","1.44 ms (0%)","705"
