"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"Mandelbrot.mandelbrot (int)","3,521 ms (98.3%)","3,456 ms (98.4%)","3,521 ms (19.5%)","3,456 ms (19.5%)","40"
"Run.reportBenchmark ()","10.8 ms (0.3%)","9.18 ms (0.3%)","21.4 ms (0.1%)","18.2 ms (0.1%)","1"
"java.lang.String.charAt (int)","4.27 ms (0.1%)","3.81 ms (0.1%)","6.76 ms (0%)","6.27 ms (0%)","13,728"
"Run.printResult (long)","1.46 ms (0%)","1.47 ms (0%)","6.72 ms (0%)","6.68 ms (0%)","40"
"java.lang.String.isLatin1 ()","1.41 ms (0%)","1.39 ms (0%)","1.41 ms (0%)","1.39 ms (0%)","15,008"
"java.lang.String.length ()","1.55 ms (0%)","1.34 ms (0%)","2.20 ms (0%)","1.98 ms (0%)","3,242"
"java.lang.ClassLoader.defineClass (String, byte[], int, int, java.security.ProtectionDomain)","1.35 ms (0%)","1.33 ms (0%)","4.68 ms (0%)","4.55 ms (0%)","16"
"java.lang.StringLatin1.charAt (byte[], int)","1.27 ms (0%)","1.25 ms (0%)","1.27 ms (0%)","1.25 ms (0%)","13,728"
"Run.getSuiteFromName (String)","0.936 ms (0%)","0.925 ms (0%)","2.36 ms (0%)","2.27 ms (0%)","1"
"java.lang.String.coder ()","0.944 ms (0%)","0.917 ms (0%)","0.944 ms (0%)","0.917 ms (0%)","4,628"
"java.io.FileOutputStream.write (byte[], int, int)","0.760 ms (0%)","0.758 ms (0%)","0.773 ms (0%)","0.771 ms (0%)","44"
"java.util.zip.Inflater.inflate (byte[], int, int)","0.623 ms (0%)","0.616 ms (0%)","0.764 ms (0%)","0.751 ms (0%)","47"
"Run.runBenchmark ()","0.600 ms (0%)","0.598 ms (0%)","3,553 ms (19.7%)","3,484 ms (19.7%)","1"
"java.util.concurrent.ConcurrentHashMap.get (Object)","0.584 ms (0%)","0.589 ms (0%)","0.954 ms (0%)","0.942 ms (0%)","368"
"java.lang.AbstractStringBuilder.append (String)","0.612 ms (0%)","0.574 ms (0%)","3.48 ms (0%)","3.22 ms (0%)","440"
"java.lang.AbstractStringBuilder.putStringAt (int, String, int, int)","0.541 ms (0%)","0.531 ms (0%)","1.12 ms (0%)","1.10 ms (0%)","440"
"jdk.internal.loader.URLClassPath$JarLoader.checkResource (String, boolean, java.util.jar.JarEntry)","0.462 ms (0%)","0.456 ms (0%)","6.39 ms (0%)","6.21 ms (0%)","16"
"java.lang.ClassLoader.findBootstrapClassOrNull (String)","1.27 ms (0%)","0.434 ms (0%)","1.50 ms (0%)","0.661 ms (0%)","25"
"java.lang.String.hashCode ()","0.447 ms (0%)","0.415 ms (0%)","0.619 ms (0%)","0.585 ms (0%)","2,243"
"Mandelbrot.innerBenchmarkLoop (int)","0.588 ms (0%)","0.411 ms (0%)","3,522 ms (19.5%)","3,456 ms (19.5%)","40"
"sun.nio.cs.UTF_8$Encoder.encodeArrayLoop (java.nio.CharBuffer, java.nio.ByteBuffer)","0.400 ms (0%)","0.395 ms (0%)","0.842 ms (0%)","0.825 ms (0%)","44"
"Harness.processArguments (String[])","0.416 ms (0%)","0.390 ms (0%)","28.3 ms (0.2%)","27.1 ms (0.2%)","1"
"java.lang.AbstractStringBuilder.putStringAt (int, String)","0.373 ms (0%)","0.380 ms (0%)","1.78 ms (0%)","1.75 ms (0%)","440"
"java.util.concurrent.ConcurrentHashMap.putVal (Object, Object, boolean)","0.384 ms (0%)","0.376 ms (0%)","0.817 ms (0%)","0.786 ms (0%)","100"
"java.lang.StringLatin1.indexOf (byte[], int, int)","0.277 ms (0%)","0.331 ms (0%)","0.505 ms (0%)","0.503 ms (0%)","383"
"java.util.zip.ZipFile.getInputStream (java.util.zip.ZipEntry)","0.335 ms (0%)","0.328 ms (0%)","1.37 ms (0%)","1.32 ms (0%)","16"
"java.util.Arrays.copyOf (byte[], int)","0.318 ms (0%)","0.325 ms (0%)","0.361 ms (0%)","0.361 ms (0%)","148"
