"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"cd.Vector2D.compareTo (cd.Vector2D)","9,822 ms (13.4%)","9,783 ms (15.6%)","16,059 ms (1.8%)","15,478 ms (1.8%)","94,223,240"
"cd.CallSign.compareTo (Object)","8,716 ms (11.9%)","8,239 ms (13.1%)","12,960 ms (1.4%)","12,212 ms (1.4%)","137,289,480"
"cd.RedBlackTree.treeInsert (Comparable, Object)","7,543 ms (10.3%)","7,594 ms (12.1%)","29,031 ms (3.2%)","28,020 ms (3.3%)","19,442,360"
"cd.Vector2D.compareTo (Object)","6,202 ms (8.5%)","5,846 ms (9.3%)","22,262 ms (2.5%)","21,324 ms (2.5%)","94,223,240"
"cd.Vector2D.compareNumbers (double, double)","6,237 ms (8.5%)","5,695 ms (9.1%)","6,237 ms (0.7%)","5,695 ms (0.7%)","180,129,120"
"cd.CollisionDetector.recurse (cd.RedBlackTree, cd.RedBlackTree, cd.Vector2D, cd.Motion)","5,815 ms (8%)","5,652 ms (9%)","38,001 ms (4.2%)","36,703 ms (4.3%)","32,010,720"
"cd.CallSign.compareTo (cd.CallSign)","4,243 ms (5.8%)","3,972 ms (6.3%)","4,243 ms (0.5%)","3,972 ms (0.5%)","137,289,480"
"cd.RedBlackTree.findNode (Comparable)","3,803 ms (5.2%)","3,809 ms (6.1%)","17,538 ms (2%)","16,920 ms (2%)","7,501,340"
"cd.RedBlackTree.put (Comparable, Object)","2,019 ms (2.8%)","1,933 ms (3.1%)","31,387 ms (3.5%)","30,272 ms (3.5%)","19,442,360"
"cd.CollisionDetector.isInVoxel (cd.Vector2D, cd.Motion)","1,504 ms (2.1%)","1,452 ms (2.3%)","1,504 ms (0.2%)","1,452 ms (0.2%)","32,010,720"
"cd.Vector2D.plus (cd.Vector2D)","764 ms (1%)","707 ms (1.1%)","764 ms (0.1%)","707 ms (0.1%)","21,008,040"
"cd.RedBlackTree.forEach (som.ForEachInterface)","721 ms (1%)","687 ms (1.1%)","7,715 ms (0.9%)","7,423 ms (0.9%)","8,000"
"cd.Vector2D.minus (cd.Vector2D)","684 ms (0.9%)","639 ms (1%)","684 ms (0.1%)","639 ms (0.1%)","21,008,040"
"cd.CollisionDetector.lambda$handleNewFrame$0 (cd.RedBlackTree, som.Vector, cd.Aircraft)","627 ms (0.9%)","603 ms (1%)","15,970 ms (1.8%)","15,356 ms (1.8%)","4,000,000"
"cd.RedBlackTree.get (Comparable)","542 ms (0.7%)","520 ms (0.8%)","18,080 ms (2%)","17,441 ms (2%)","7,501,340"
"cd.CollisionDetector.putIntoMap (cd.RedBlackTree, cd.Vector2D, cd.Motion)","520 ms (0.7%)","503 ms (0.8%)","24,203 ms (2.7%)","23,388 ms (2.7%)","3,501,340"
"som.Vector.forEach (som.ForEachInterface)","437 ms (0.6%)","446 ms (0.7%)","56,638 ms (6.3%)","54,639 ms (6.4%)","16,000"
"cd.CollisionDetector.drawMotionOnVoxelMap (cd.RedBlackTree, cd.Motion)","460 ms (0.6%)","435 ms (0.7%)","38,603 ms (4.3%)","37,272 ms (4.4%)","4,000,000"
"cd.RedBlackTree$Node.successor ()","426 ms (0.6%)","411 ms (0.7%)","718 ms (0.1%)","698 ms (0.1%)","6,774,400"
