"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"Storage.lambda$buildTreeDepth$0 (int, som.Random, int)","31,195 ms (30.6%)","30,459 ms (31.1%)","101,650 ms (10.9%)","97,831 ms (10.9%)","393,120,000"
"Storage.buildTreeDepth (int, som.Random)","30,761 ms (30.2%)","29,157 ms (29.8%)","101,712 ms (10.9%)","97,881 ms (11%)","393,192,000"
"java.util.Arrays.setAll (Object[], java.util.function.IntFunction)","26,843 ms (26.4%)","26,102 ms (26.6%)","101,685 ms (10.9%)","97,866 ms (10.9%)","98,280,000"
"som.Random.next ()","9,703 ms (9.5%)","9,153 ms (9.3%)","9,703 ms (1%)","9,153 ms (1%)","294,912,000"
"java.util.Objects.requireNonNull (Object)","3,194 ms (3.1%)","3,006 ms (3.1%)","3,194 ms (0.3%)","3,006 ms (0.3%)","98,281,331"
"Benchmark.innerBenchmarkLoop (int)","48.5 ms (0%)","49.0 ms (0.1%)","101,804 ms (11%)","97,964 ms (11%)","40"
"Storage.benchmark ()","22.5 ms (0%)","21.7 ms (0%)","101,750 ms (11%)","97,910 ms (11%)","72,000"
"Run.reportBenchmark ()","11.5 ms (0%)","7.64 ms (0%)","16.7 ms (0%)","12.4 ms (0%)","1"
"java.lang.Integer.valueOf (int)","4.75 ms (0%)","4.69 ms (0%)","4.75 ms (0%)","4.69 ms (0%)","72,002"
"Storage.verifyResult (Object)","4.55 ms (0%)","4.20 ms (0%)","4.55 ms (0%)","4.20 ms (0%)","72,000"
"java.lang.String.charAt (int)","4.35 ms (0%)","2.66 ms (0%)","12.9 ms (0%)","4.41 ms (0%)","17,529"
"Run.printResult (long)","1.48 ms (0%)","1.48 ms (0%)","5.50 ms (0%)","5.0 ms (0%)","40"
"java.lang.String.isLatin1 ()","0.976 ms (0%)","0.926 ms (0%)","0.976 ms (0%)","0.926 ms (0%)","19,122"
"java.lang.StringLatin1.charAt (byte[], int)","7.72 ms (0%)","0.899 ms (0%)","7.72 ms (0%)","0.899 ms (0%)","17,529"
"java.lang.ClassLoader.defineClass (String, byte[], int, int, java.security.ProtectionDomain)","0.868 ms (0%)","0.855 ms (0%)","2.24 ms (0%)","2.16 ms (0%)","17"
"Run.getSuiteFromName (String)","0.784 ms (0%)","0.781 ms (0%)","1.84 ms (0%)","1.79 ms (0%)","1"
"java.io.FileOutputStream.write (byte[], int, int)","0.696 ms (0%)","0.696 ms (0%)","0.708 ms (0%)","0.709 ms (0%)","44"
"java.lang.String.length ()","2.46 ms (0%)","0.540 ms (0%)","2.71 ms (0%)","0.789 ms (0%)","3,772"
"java.util.concurrent.ConcurrentHashMap.get (Object)","0.503 ms (0%)","0.504 ms (0%)","0.853 ms (0%)","0.712 ms (0%)","415"
"java.util.zip.Inflater.inflate (byte[], int, int)","0.408 ms (0%)","0.402 ms (0%)","0.498 ms (0%)","0.489 ms (0%)","52"
"java.lang.ClassLoader.findBootstrapClassOrNull (String)","0.381 ms (0%)","0.384 ms (0%)","0.481 ms (0%)","0.484 ms (0%)","31"
"Run.runBenchmark ()","0.384 ms (0%)","0.381 ms (0%)","101,828 ms (11%)","97,983 ms (11%)","1"
"java.lang.String.coder ()","0.313 ms (0%)","0.315 ms (0%)","0.313 ms (0%)","0.315 ms (0%)","5,368"
"java.util.concurrent.ConcurrentHashMap.tabAt (java.util.concurrent.ConcurrentHashMap.Node[], int)","0.312 ms (0%)","0.302 ms (0%)","0.456 ms (0%)","0.445 ms (0%)","1,335"
"java.util.concurrent.ConcurrentHashMap.transfer (java.util.concurrent.ConcurrentHashMap.Node[], java.util.concurrent.ConcurrentHashMap.Node[])","0.295 ms (0%)","0.299 ms (0%)","0.846 ms (0%)","0.830 ms (0%)","2"
"java.lang.AbstractStringBuilder.append (String)","0.300 ms (0%)","0.294 ms (0%)","3.67 ms (0%)","1.76 ms (0%)","530"
"sun.nio.cs.UTF_8$Encoder.encodeArrayLoop (java.nio.CharBuffer, java.nio.ByteBuffer)","0.298 ms (0%)","0.293 ms (0%)","0.597 ms (0%)","0.583 ms (0%)","44"
"java.lang.AbstractStringBuilder.putStringAt (int, String, int, int)","0.290 ms (0%)","0.287 ms (0%)","0.573 ms (0%)","0.570 ms (0%)","530"
"Harness.processArguments (String[])","0.411 ms (0%)","0.284 ms (0%)","17.2 ms (0%)","14.5 ms (0%)","1"
"java.util.concurrent.ConcurrentHashMap.putVal (Object, Object, boolean)","0.287 ms (0%)","0.284 ms (0%)","1.40 ms (0%)","1.38 ms (0%)","129"
"Run.printTotal ()","0.292 ms (0%)","0.255 ms (0%)","0.467 ms (0%)","0.361 ms (0%)","1"
"java.lang.String.hashCode ()","0.297 ms (0%)","0.248 ms (0%)","0.415 ms (0%)","0.363 ms (0%)","2,688"
"jdk.internal.loader.URLClassPath$JarLoader.checkResource (String, boolean, java.util.jar.JarEntry)","0.258 ms (0%)","0.243 ms (0%)","2.73 ms (0%)","2.54 ms (0%)","17"
"java.util.zip.ZipFile.getInputStream (java.util.zip.ZipEntry)","0.251 ms (0%)","0.237 ms (0%)","0.915 ms (0%)","0.864 ms (0%)","18"
"java.nio.CharBuffer.wrap (char[], int, int)","0.709 ms (0%)","0.237 ms (0%)","0.879 ms (0%)","0.398 ms (0%)","44"
"Run.measure (Benchmark)","0.236 ms (0%)","0.234 ms (0%)","101,809 ms (11%)","97,969 ms (11%)","40"
"java.util.jar.JarFile.getManifestFromReference ()","1.29 ms (0%)","0.231 ms (0%)","4.32 ms (0%)","0.956 ms (0%)","1"
"java.io.PrintStream.println (String)","0.216 ms (0%)","0.215 ms (0%)","4.73 ms (0%)","4.11 ms (0%)","43"
"jdk.internal.loader.BuiltinClassLoader.loadClassOrNull (String, boolean)","0.223 ms (0%)","0.207 ms (0%)","26.4 ms (0%)","14.8 ms (0%)","44"
"java.io.PrintStream.writeln (String)","0.210 ms (0%)","0.200 ms (0%)","4.48 ms (0%)","3.86 ms (0%)","43"
"Run.lambda$getSuiteFromName$12 ()","0.199 ms (0%)","0.192 ms (0%)","0.199 ms (0%)","0.192 ms (0%)","1"
"java.lang.AbstractStringBuilder.putStringAt (int, String)","0.193 ms (0%)","0.190 ms (0%)","0.902 ms (0%)","0.888 ms (0%)","530"
"java.util.Arrays.copyOfRange (byte[], int, int)","0.219 ms (0%)","0.179 ms (0%)","0.247 ms (0%)","0.205 ms (0%)","608"
"java.lang.AbstractStringBuilder.ensureCapacityInternal (int)","0.187 ms (0%)","0.178 ms (0%)","0.483 ms (0%)","0.469 ms (0%)","854"
"java.io.BufferedWriter.write (String, int, int)","0.177 ms (0%)","0.173 ms (0%)","0.394 ms (0%)","0.383 ms (0%)","87"
"java.util.zip.ZipFile.getZipEntry (String, int)","0.185 ms (0%)","0.172 ms (0%)","2.25 ms (0%)","0.472 ms (0%)","17"
"java.lang.ClassLoader.definePackage (String, String, String, String, String, String, String, java.net.URL)","5.80 ms (0%)","0.172 ms (0%)","5.82 ms (0%)","0.199 ms (0%)","1"
"java.lang.StringBuilder.append (String)","0.179 ms (0%)","0.166 ms (0%)","3.85 ms (0%)","1.94 ms (0%)","530"
"java.util.concurrent.ConcurrentHashMap.setTabAt (java.util.concurrent.ConcurrentHashMap.Node[], int, java.util.concurrent.ConcurrentHashMap.Node)","0.161 ms (0%)","0.161 ms (0%)","0.233 ms (0%)","0.218 ms (0%)","443"
"java.util.Arrays.copyOf (Object[], int, Class)","0.157 ms (0%)","0.152 ms (0%)","0.201 ms (0%)","0.194 ms (0%)","320"
"java.util.jar.Manifest.read (java.io.InputStream, String)","1.77 ms (0%)","0.151 ms (0%)","2.94 ms (0%)","0.640 ms (0%)","1"
"java.lang.StringLatin1.indexOf (byte[], int, int)","0.149 ms (0%)","0.149 ms (0%)","0.244 ms (0%)","0.243 ms (0%)","493"
"java.lang.String.getBytes (byte[], int, int, byte, int)","0.147 ms (0%)","0.148 ms (0%)","0.185 ms (0%)","0.186 ms (0%)","530"
"java.lang.String.substring (int, int)","0.154 ms (0%)","0.147 ms (0%)","0.411 ms (0%)","0.402 ms (0%)","357"
"java.lang.String.indexOf (int, int)","0.153 ms (0%)","0.143 ms (0%)","0.448 ms (0%)","0.434 ms (0%)","493"
"java.util.concurrent.ConcurrentHashMap.computeIfAbsent (Object, java.util.function.Function)","0.202 ms (0%)","0.133 ms (0%)","0.357 ms (0%)","0.278 ms (0%)","37"
"sun.net.www.protocol.jar.Handler.parseURL (java.net.URL, String, int, int)","0.182 ms (0%)","0.132 ms (0%)","1.73 ms (0%)","1.59 ms (0%)","17"
"java.lang.StringLatin1.newString (byte[], int, int)","0.145 ms (0%)","0.132 ms (0%)","0.381 ms (0%)","0.325 ms (0%)","584"
"jdk.internal.misc.Unsafe.getReferenceAcquire (Object, long)","0.132 ms (0%)","0.129 ms (0%)","0.132 ms (0%)","0.129 ms (0%)","891"
"java.lang.StringLatin1.lastIndexOf (byte[], int, int)","0.137 ms (0%)","0.129 ms (0%)","0.167 ms (0%)","0.157 ms (0%)","153"
"java.util.zip.ZipFile$Source.getEntryPos (String, boolean)","0.139 ms (0%)","0.129 ms (0%)","0.553 ms (0%)","0.526 ms (0%)","18"
"java.lang.AbstractStringBuilder.append (char)","0.127 ms (0%)","0.126 ms (0%)","0.199 ms (0%)","0.192 ms (0%)","258"
"java.nio.charset.CharsetEncoder.encode (java.nio.CharBuffer, java.nio.ByteBuffer, boolean)","0.131 ms (0%)","0.126 ms (0%)","0.869 ms (0%)","0.846 ms (0%)","44"
"java.lang.String.equals (Object)","0.136 ms (0%)","0.124 ms (0%)","0.196 ms (0%)","0.183 ms (0%)","898"
"java.lang.ref.Cleaner.register (Object, Runnable)","0.127 ms (0%)","0.123 ms (0%)","0.255 ms (0%)","0.243 ms (0%)","24"
"sun.nio.cs.StreamEncoder.implWrite (java.nio.CharBuffer)","0.126 ms (0%)","0.123 ms (0%)","1.2 ms (0%)","0.994 ms (0%)","44"
"sun.nio.cs.StreamEncoder.writeBytes ()","0.128 ms (0%)","0.123 ms (0%)","1.26 ms (0%)","1.22 ms (0%)","44"
