"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"som.Vector.forEach (som.ForEachInterface)","23,742 ms (22.3%)","23,494 ms (22.8%)","50,688 ms (5.4%)","49,359 ms (5.4%)","40,807,761"
"deltablue.EqualityConstraint.execute ()","13,142 ms (12.4%)","12,553 ms (12.2%)","13,142 ms (1.4%)","12,553 ms (1.4%)","249,600,000"
"deltablue.Planner.addPropagate (deltablue.AbstractConstraint, int)","8,304 ms (7.8%)","8,162 ms (7.9%)","27,624 ms (2.9%)","26,879 ms (2.9%)","14,400,440"
"deltablue.AbstractConstraint.satisfy (int, deltablue.Planner)","4,824 ms (4.5%)","4,688 ms (4.5%)","37,493 ms (4%)","36,428 ms (4%)","14,400,560"
"som.Vector.isEmpty ()","4,218 ms (4%)","4,055 ms (3.9%)","4,218 ms (0.4%)","4,055 ms (0.4%)","81,603,000"
"deltablue.BinaryConstraint.getOutput ()","3,945 ms (3.7%)","3,803 ms (3.7%)","3,945 ms (0.4%)","3,803 ms (0.4%)","74,400,720"
"som.Vector.removeFirst ()","3,393 ms (3.2%)","3,306 ms (3.2%)","5,126 ms (0.5%)","4,970 ms (0.5%)","33,601,080"
"som.Vector.append (Object)","3,257 ms (3.1%)","3,130 ms (3%)","3,293 ms (0.3%)","3,165 ms (0.3%)","60,001,928"
"deltablue.Planner.makePlan (som.Vector)","3,081 ms (2.9%)","3,033 ms (2.9%)","10,011 ms (1.1%)","9,747 ms (1.1%)","200"
"deltablue.ScaleConstraint.execute ()","3,088 ms (2.9%)","2,946 ms (2.9%)","3,088 ms (0.3%)","2,946 ms (0.3%)","55,200,960"
"deltablue.BinaryConstraint.isSatisfied ()","2,745 ms (2.6%)","2,617 ms (2.5%)","2,745 ms (0.3%)","2,617 ms (0.3%)","52,800,560"
"deltablue.Planner.addConstraintsConsumingTo (deltablue.Variable, som.Vector)","2,676 ms (2.5%)","2,591 ms (2.5%)","7,534 ms (0.8%)","7,325 ms (0.8%)","26,400,800"
"deltablue.Strength.weakest (deltablue.Strength)","2,478 ms (2.3%)","2,397 ms (2.3%)","3,694 ms (0.4%)","3,586 ms (0.4%)","24,000,240"
"deltablue.BinaryConstraint.recalculate ()","1,764 ms (1.7%)","1,716 ms (1.7%)","4,098 ms (0.4%)","3,979 ms (0.4%)","12,000,000"
"deltablue.ScaleConstraint.recalculate ()","1,733 ms (1.6%)","1,701 ms (1.6%)","3,998 ms (0.4%)","3,891 ms (0.4%)","12,000,240"
"deltablue.Planner.removePropagateFrom (deltablue.Variable)","1,659 ms (1.6%)","1,609 ms (1.6%)","11,845 ms (1.3%)","11,515 ms (1.3%)","200"
"deltablue.Variable.addConstraint (deltablue.AbstractConstraint)","1,643 ms (1.5%)","1,601 ms (1.6%)","2,594 ms (0.3%)","2,514 ms (0.3%)","16,800,240"
"deltablue.BinaryConstraint.chooseMethod (int)","1,547 ms (1.5%)","1,510 ms (1.5%)","2,414 ms (0.3%)","2,345 ms (0.3%)","12,000,080"
"deltablue.Planner.incrementalAdd (deltablue.AbstractConstraint)","1,544 ms (1.5%)","1,501 ms (1.5%)","39,404 ms (4.2%)","38,281 ms (4.2%)","7,200,360"
"som.Vector.with (Object)","1,505 ms (1.4%)","1,445 ms (1.4%)","2,282 ms (0.2%)","2,193 ms (0.2%)","14,400,840"
"deltablue.Strength.weaker (deltablue.Strength)","1,478 ms (1.4%)","1,437 ms (1.4%)","1,478 ms (0.2%)","1,437 ms (0.2%)","28,800,240"
"som.Dictionary.at (som.Dictionary.CustomHash)","1,440 ms (1.4%)","1,404 ms (1.4%)","3,313 ms (0.4%)","3,218 ms (0.4%)","7,200,242"
"deltablue.Planner.projectionTest (int)","1,304 ms (1.2%)","1,288 ms (1.2%)","45,522 ms (4.8%)","44,249 ms (4.8%)","40"
"deltablue.AbstractConstraint.addConstraint (deltablue.Planner)","1,132 ms (1.1%)","1,109 ms (1.1%)","38,652 ms (4.1%)","37,560 ms (4.1%)","7,200,240"
"deltablue.AbstractConstraint.inputsKnown (int)","758 ms (0.7%)","745 ms (0.7%)","1,221 ms (0.1%)","1,191 ms (0.1%)","7,200,280"
"deltablue.Strength.of (deltablue.Strength.Sym)","758 ms (0.7%)","736 ms (0.7%)","4,071 ms (0.4%)","3,954 ms (0.4%)","7,200,242"
