"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"Sieve.sieve (boolean[], int)","4,395 ms (88.7%)","4,101 ms (90.4%)","4,395 ms (12.8%)","4,101 ms (13%)","400,000"
"Sieve.benchmark ()","281 ms (5.7%)","218 ms (4.8%)","4,835 ms (14.1%)","4,429 ms (14.1%)","400,000"
"java.util.Arrays.fill (boolean[], boolean)","136 ms (2.8%)","90.3 ms (2%)","136 ms (0.4%)","90.3 ms (0.3%)","400,000"
"Benchmark.innerBenchmarkLoop (int)","62.1 ms (1.3%)","53.8 ms (1.2%)","4,916 ms (14.3%)","4,502 ms (14.3%)","40"
"java.lang.Integer.valueOf (int)","22.2 ms (0.4%)","19.7 ms (0.4%)","22.2 ms (0.1%)","19.7 ms (0.1%)","400,002"
"Sieve.verifyResult (Object)","19.1 ms (0.4%)","18.4 ms (0.4%)","19.1 ms (0.1%)","18.4 ms (0.1%)","400,000"
"Run.reportBenchmark ()","7.90 ms (0.2%)","7.47 ms (0.2%)","15.4 ms (0%)","13.8 ms (0%)","1"
"java.lang.String.charAt (int)","2.31 ms (0%)","2.24 ms (0%)","4.74 ms (0%)","3.76 ms (0%)","13,738"
"Run.printResult (long)","2.10 ms (0%)","1.79 ms (0%)","6.6 ms (0%)","5.69 ms (0%)","40"
"java.io.FileOutputStream.write (byte[], int, int)","0.823 ms (0%)","0.815 ms (0%)","0.835 ms (0%)","0.826 ms (0%)","44"
"Run.getSuiteFromName (String)","0.979 ms (0%)","0.802 ms (0%)","2.7 ms (0%)","1.82 ms (0%)","1"
"java.lang.ClassLoader.defineClass (String, byte[], int, int, java.security.ProtectionDomain)","0.837 ms (0%)","0.800 ms (0%)","2.0 ms (0%)","1.90 ms (0%)","16"
"java.lang.String.isLatin1 ()","1.73 ms (0%)","0.793 ms (0%)","1.73 ms (0%)","0.793 ms (0%)","15,042"
"java.lang.StringLatin1.charAt (byte[], int)","0.775 ms (0%)","0.773 ms (0%)","0.775 ms (0%)","0.773 ms (0%)","13,738"
"java.lang.String.length ()","0.456 ms (0%)","0.400 ms (0%)","0.672 ms (0%)","0.615 ms (0%)","3,250"
"Run.runBenchmark ()","0.409 ms (0%)","0.393 ms (0%)","4,940 ms (14.4%)","4,523 ms (14.4%)","1"
"java.util.zip.Inflater.inflate (byte[], int, int)","0.393 ms (0%)","0.388 ms (0%)","0.473 ms (0%)","0.463 ms (0%)","47"
"java.util.concurrent.ConcurrentHashMap.tabAt (java.util.concurrent.ConcurrentHashMap.Node[], int)","0.365 ms (0%)","0.367 ms (0%)","0.561 ms (0%)","0.549 ms (0%)","1,335"
"java.lang.ClassLoader.findBootstrapClassOrNull (String)","0.345 ms (0%)","0.344 ms (0%)","0.438 ms (0%)","0.439 ms (0%)","29"
"sun.nio.cs.UTF_8$Encoder.encodeArrayLoop (java.nio.CharBuffer, java.nio.ByteBuffer)","0.345 ms (0%)","0.341 ms (0%)","0.694 ms (0%)","0.675 ms (0%)","44"
"java.util.concurrent.ConcurrentHashMap.transfer (java.util.concurrent.ConcurrentHashMap.Node[], java.util.concurrent.ConcurrentHashMap.Node[])","0.326 ms (0%)","0.333 ms (0%)","1.1 ms (0%)","0.996 ms (0%)","2"
"java.util.concurrent.ConcurrentHashMap.get (Object)","0.318 ms (0%)","0.311 ms (0%)","0.488 ms (0%)","0.483 ms (0%)","372"
"Run.measure (Benchmark)","0.280 ms (0%)","0.281 ms (0%)","4,923 ms (14.4%)","4,508 ms (14.3%)","40"
"java.io.PrintStream.println (String)","0.275 ms (0%)","0.273 ms (0%)","4.56 ms (0%)","4.40 ms (0%)","43"
"Harness.processArguments (String[])","0.275 ms (0%)","0.259 ms (0%)","14.9 ms (0%)","13.9 ms (0%)","1"
"java.io.PrintStream.writeln (String)","0.261 ms (0%)","0.247 ms (0%)","4.25 ms (0%)","4.9 ms (0%)","43"
"java.lang.String.coder ()","0.251 ms (0%)","0.243 ms (0%)","0.251 ms (0%)","0.243 ms (0%)","4,636"
"java.lang.AbstractStringBuilder.append (String)","0.217 ms (0%)","0.243 ms (0%)","1.20 ms (0%)","1.17 ms (0%)","440"
"Run.printTotal ()","0.237 ms (0%)","0.240 ms (0%)","0.342 ms (0%)","0.342 ms (0%)","1"
"java.lang.String.hashCode ()","0.268 ms (0%)","0.236 ms (0%)","0.341 ms (0%)","0.309 ms (0%)","2,251"
"java.util.concurrent.ConcurrentHashMap.putVal (Object, Object, boolean)","0.220 ms (0%)","0.218 ms (0%)","1.43 ms (0%)","1.40 ms (0%)","104"
"java.nio.CharBuffer.wrap (char[], int, int)","0.228 ms (0%)","0.217 ms (0%)","0.398 ms (0%)","0.374 ms (0%)","44"
"jdk.internal.loader.URLClassPath$JarLoader.checkResource (String, boolean, java.util.jar.JarEntry)","0.214 ms (0%)","0.205 ms (0%)","2.20 ms (0%)","2.7 ms (0%)","16"
"java.lang.AbstractStringBuilder.putStringAt (int, String, int, int)","0.203 ms (0%)","0.204 ms (0%)","0.398 ms (0%)","0.393 ms (0%)","440"
"Run.lambda$getSuiteFromName$11 ()","0.222 ms (0%)","0.203 ms (0%)","0.222 ms (0%)","0.203 ms (0%)","1"
"java.util.zip.ZipFile.getInputStream (java.util.zip.ZipEntry)","0.211 ms (0%)","0.200 ms (0%)","0.849 ms (0%)","0.799 ms (0%)","16"
"jdk.internal.loader.BuiltinClassLoader.loadClassOrNull (String, boolean)","0.190 ms (0%)","0.179 ms (0%)","12.6 ms (0%)","11.9 ms (0%)","41"
