"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"deltablue.Planner.newMark ()","488 ms (0.3%)","468 ms (0.3%)","488 ms (0%)","468 ms (0%)","14,401,120"
"deltablue.Planner.chainTest (int)","405 ms (0.3%)","406 ms (0.3%)","88,390 ms (6.4%)","85,635 ms (6.4%)","80"
"deltablue.UnaryConstraint.addToGraph ()","372 ms (0.2%)","371 ms (0.2%)","927 ms (0.1%)","904 ms (0.1%)","4,800,480"
"deltablue.UnaryConstraint.recalculate ()","377 ms (0.2%)","360 ms (0.2%)","550 ms (0%)","531 ms (0%)","4,800,720"
"deltablue.UnaryConstraint.chooseMethod (int)","359 ms (0.2%)","351 ms (0.2%)","522 ms (0%)","507 ms (0%)","4,800,960"
"som.Vector.at (int)","343 ms (0.2%)","329 ms (0.2%)","343 ms (0%)","329 ms (0%)","9,599,840"
"java.util.Arrays.setAll (Object[], java.util.function.IntFunction)","358 ms (0.2%)","306 ms (0.2%)","658 ms (0%)","585 ms (0%)","80"
"deltablue.ScaleConstraint.inputsDo (som.ForEachInterface)","189 ms (0.1%)","177 ms (0.1%)","189 ms (0%)","177 ms (0%)","4,800,160"
"deltablue.AbstractConstraint.isInput ()","173 ms (0.1%)","170 ms (0.1%)","173 ms (0%)","170 ms (0%)","4,800,320"
"java.util.Arrays.copyOf (Object[], int)","56.2 ms (0%)","35.2 ms (0%)","78.8 ms (0%)","57.7 ms (0%)","15,682"
"java.util.Arrays.copyOf (Object[], int, Class)","22.3 ms (0%)","22.3 ms (0%)","22.7 ms (0%)","22.6 ms (0%)","5,224"
"som.Vector.remove (Object)","12.0 ms (0%)","12.0 ms (0%)","139 ms (0%)","138 ms (0%)","800"
"java.lang.String.charAt (int)","9.15 ms (0%)","8.88 ms (0%)","15.0 ms (0%)","14.5 ms (0%)","28,088"
"Run.reportBenchmark ()","11.0 ms (0%)","8.11 ms (0%)","19.1 ms (0%)","15.7 ms (0%)","1"
"deltablue.Plan.execute ()","5.90 ms (0%)","5.78 ms (0%)","50,427 ms (3.7%)","49,122 ms (3.7%)","11,200"
"deltablue.Planner.change (deltablue.Variable, int)","4.80 ms (0%)","4.81 ms (0%)","39,852 ms (2.9%)","38,782 ms (2.9%)","320"
"deltablue.Planner.incrementalRemove (deltablue.AbstractConstraint)","3.41 ms (0%)","3.41 ms (0%)","25,124 ms (1.8%)","24,449 ms (1.8%)","400"
"java.lang.String.isLatin1 ()","3.22 ms (0%)","3.5 ms (0%)","3.22 ms (0%)","3.5 ms (0%)","31,375"
