"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"som.Vector.forEach (som.ForEachInterface)","21,690 ms (24.1%)","21,090 ms (24.1%)","44,324 ms (5.6%)","43,152 ms (5.6%)","40,807,761"
"deltablue.EqualityConstraint.execute ()","11,237 ms (12.5%)","10,965 ms (12.5%)","11,237 ms (1.4%)","10,965 ms (1.4%)","249,600,000"
"deltablue.Planner.addPropagate (deltablue.AbstractConstraint, int)","6,754 ms (7.5%)","6,568 ms (7.5%)","22,659 ms (2.8%)","21,898 ms (2.8%)","14,400,440"
"deltablue.AbstractConstraint.satisfy (int, deltablue.Planner)","4,069 ms (4.5%)","3,958 ms (4.5%)","30,801 ms (3.9%)","29,770 ms (3.9%)","14,400,560"
"som.Vector.isEmpty ()","3,460 ms (3.8%)","3,305 ms (3.8%)","3,460 ms (0.4%)","3,305 ms (0.4%)","81,603,000"
"deltablue.BinaryConstraint.getOutput ()","3,085 ms (3.4%)","2,919 ms (3.3%)","3,085 ms (0.4%)","2,919 ms (0.4%)","74,400,720"
"som.Vector.removeFirst ()","2,783 ms (3.1%)","2,731 ms (3.1%)","4,183 ms (0.5%)","4,060 ms (0.5%)","33,601,080"
"som.Vector.append (Object)","2,700 ms (3%)","2,602 ms (3%)","2,736 ms (0.3%)","2,637 ms (0.3%)","60,001,928"
"deltablue.ScaleConstraint.execute ()","2,592 ms (2.9%)","2,497 ms (2.9%)","2,592 ms (0.3%)","2,497 ms (0.3%)","55,200,960"
"deltablue.Planner.makePlan (som.Vector)","2,471 ms (2.7%)","2,420 ms (2.8%)","8,142 ms (1%)","7,904 ms (1%)","200"
"deltablue.BinaryConstraint.isSatisfied ()","2,300 ms (2.6%)","2,273 ms (2.6%)","2,300 ms (0.3%)","2,273 ms (0.3%)","52,800,560"
"deltablue.Planner.addConstraintsConsumingTo (deltablue.Variable, som.Vector)","2,210 ms (2.5%)","2,142 ms (2.5%)","6,335 ms (0.8%)","6,147 ms (0.8%)","26,400,800"
"deltablue.Strength.weakest (deltablue.Strength)","1,951 ms (2.2%)","1,900 ms (2.2%)","2,924 ms (0.4%)","2,842 ms (0.4%)","24,000,240"
"deltablue.ScaleConstraint.recalculate ()","1,495 ms (1.7%)","1,484 ms (1.7%)","3,333 ms (0.4%)","3,257 ms (0.4%)","12,000,240"
"deltablue.BinaryConstraint.recalculate ()","1,461 ms (1.6%)","1,395 ms (1.6%)","3,275 ms (0.4%)","3,151 ms (0.4%)","12,000,000"
"deltablue.Variable.addConstraint (deltablue.AbstractConstraint)","1,431 ms (1.6%)","1,388 ms (1.6%)","2,225 ms (0.3%)","2,154 ms (0.3%)","16,800,240"
"deltablue.Planner.removePropagateFrom (deltablue.Variable)","1,317 ms (1.5%)","1,281 ms (1.5%)","9,720 ms (1.2%)","9,475 ms (1.2%)","200"
"deltablue.Planner.incrementalAdd (deltablue.AbstractConstraint)","1,250 ms (1.4%)","1,217 ms (1.4%)","32,371 ms (4.1%)","31,291 ms (4.1%)","7,200,360"
"som.Vector.with (Object)","1,277 ms (1.4%)","1,212 ms (1.4%)","1,901 ms (0.2%)","1,826 ms (0.2%)","14,400,840"
"deltablue.BinaryConstraint.chooseMethod (int)","1,257 ms (1.4%)","1,200 ms (1.4%)","1,975 ms (0.2%)","1,899 ms (0.2%)","12,000,080"
"som.Dictionary.at (som.Dictionary.CustomHash)","1,214 ms (1.3%)","1,178 ms (1.3%)","2,851 ms (0.4%)","2,743 ms (0.4%)","7,200,242"
"deltablue.Strength.weaker (deltablue.Strength)","1,188 ms (1.3%)","1,151 ms (1.3%)","1,188 ms (0.1%)","1,151 ms (0.1%)","28,800,240"
