"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"som.Vector.forEach (som.ForEachInterface)","20,140 ms (23.5%)","19,691 ms (24%)","41,827 ms (5.5%)","40,202 ms (5.6%)","40,807,761"
"deltablue.EqualityConstraint.execute ()","10,600 ms (12.4%)","9,926 ms (12.1%)","10,600 ms (1.4%)","9,926 ms (1.4%)","249,600,000"
"deltablue.Planner.addPropagate (deltablue.AbstractConstraint, int)","6,750 ms (7.9%)","6,506 ms (7.9%)","22,004 ms (2.9%)","21,021 ms (2.9%)","14,400,440"
"deltablue.AbstractConstraint.satisfy (int, deltablue.Planner)","3,785 ms (4.4%)","3,598 ms (4.4%)","29,713 ms (3.9%)","28,309 ms (3.9%)","14,400,560"
"som.Vector.isEmpty ()","3,325 ms (3.9%)","3,148 ms (3.8%)","3,325 ms (0.4%)","3,148 ms (0.4%)","81,603,000"
"deltablue.BinaryConstraint.getOutput ()","2,943 ms (3.4%)","2,802 ms (3.4%)","2,943 ms (0.4%)","2,802 ms (0.4%)","74,400,720"
"deltablue.ScaleConstraint.execute ()","2,782 ms (3.3%)","2,646 ms (3.2%)","2,782 ms (0.4%)","2,646 ms (0.4%)","55,200,960"
"som.Vector.removeFirst ()","2,597 ms (3%)","2,501 ms (3.1%)","3,917 ms (0.5%)","3,762 ms (0.5%)","33,601,080"
"som.Vector.append (Object)","2,577 ms (3%)","2,470 ms (3%)","2,611 ms (0.3%)","2,505 ms (0.3%)","60,001,928"
"deltablue.Planner.makePlan (som.Vector)","2,479 ms (2.9%)","2,385 ms (2.9%)","7,879 ms (1%)","7,567 ms (1%)","200"
"deltablue.Planner.addConstraintsConsumingTo (deltablue.Variable, som.Vector)","2,197 ms (2.6%)","2,182 ms (2.7%)","6,315 ms (0.8%)","6,068 ms (0.8%)","26,400,800"
"deltablue.BinaryConstraint.isSatisfied ()","2,117 ms (2.5%)","1,980 ms (2.4%)","2,117 ms (0.3%)","1,980 ms (0.3%)","52,800,560"
"deltablue.Strength.weakest (deltablue.Strength)","1,835 ms (2.1%)","1,757 ms (2.1%)","2,751 ms (0.4%)","2,643 ms (0.4%)","24,000,240"
"deltablue.ScaleConstraint.recalculate ()","1,359 ms (1.6%)","1,304 ms (1.6%)","3,061 ms (0.4%)","2,945 ms (0.4%)","12,000,240"
