"Name","Self Time","Self Time (CPU)","Total Time","Total Time (CPU)","Invocations"
"Permute.permute (int)","217,682 ms (74.5%)","212,715 ms (74.6%)","2,320,934 ms (16.6%)","2,314,308 ms (16.6%)","1,212,400,000"
"Permute.swap (int, int)","74,182 ms (25.4%)","72,321 ms (25.4%)","74,182 ms (0.5%)","72,321 ms (0.5%)","1,410,920,000"
"Benchmark.innerBenchmarkLoop (int)","90.9 ms (0%)","92.1 ms (0%)","2,321,105 ms (16.6%)","2,314,477 ms (16.6%)","40"
"Permute.benchmark ()","53.8 ms (0%)","52.6 ms (0%)","2,321,002 ms (16.6%)","2,314,374 ms (16.6%)","140,000"
"java.lang.Integer.valueOf (int)","13.9 ms (0%)","13.6 ms (0%)","13.9 ms (0%)","13.6 ms (0%)","140,002"
"Run.reportBenchmark ()","16.1 ms (0%)","13.6 ms (0%)","31.7 ms (0%)","27.7 ms (0%)","1"
"Permute.verifyResult (Object)","11.8 ms (0%)","10.9 ms (0%)","11.8 ms (0%)","10.9 ms (0%)","140,000"
"java.lang.String.charAt (int)","4.95 ms (0%)","4.84 ms (0%)","8.40 ms (0%)","8.6 ms (0%)","13,729"
"java.lang.String.isLatin1 ()","1.87 ms (0%)","1.77 ms (0%)","1.87 ms (0%)","1.77 ms (0%)","15,009"
"java.lang.StringLatin1.charAt (byte[], int)","1.73 ms (0%)","1.60 ms (0%)","1.73 ms (0%)","1.60 ms (0%)","13,729"
"Run.printResult (long)","1.54 ms (0%)","1.54 ms (0%)","5.58 ms (0%)","5.52 ms (0%)","40"
"Run.getSuiteFromName (String)","1.20 ms (0%)","1.18 ms (0%)","3.39 ms (0%)","3.25 ms (0%)","1"
"java.lang.ClassLoader.defineClass (String, byte[], int, int, java.security.ProtectionDomain)","0.805 ms (0%)","0.803 ms (0%)","2.8 ms (0%)","2.0 ms (0%)","16"
"java.lang.String.length ()","0.806 ms (0%)","0.780 ms (0%)","1.24 ms (0%)","1.14 ms (0%)","3,242"
"java.io.FileOutputStream.write (byte[], int, int)","2.6 ms (0%)","0.780 ms (0%)","2.8 ms (0%)","0.791 ms (0%)","44"
"Run.runBenchmark ()","0.656 ms (0%)","0.641 ms (0%)","2,321,145 ms (16.6%)","2,314,513 ms (16.6%)","1"
"java.util.concurrent.ConcurrentHashMap.get (Object)","0.584 ms (0%)","0.593 ms (0%)","0.857 ms (0%)","0.857 ms (0%)","368"
"java.lang.String.hashCode ()","0.626 ms (0%)","0.582 ms (0%)","0.793 ms (0%)","0.747 ms (0%)","2,243"
"java.lang.ClassLoader.findBootstrapClassOrNull (String)","0.516 ms (0%)","0.520 ms (0%)","0.637 ms (0%)","0.641 ms (0%)","25"
"java.lang.String.coder ()","0.553 ms (0%)","0.482 ms (0%)","0.553 ms (0%)","0.482 ms (0%)","4,628"
"java.util.Arrays.copyOf (Object[], int, Class)","0.373 ms (0%)","0.375 ms (0%)","0.466 ms (0%)","0.452 ms (0%)","312"
"sun.nio.cs.UTF_8$Encoder.encodeArrayLoop (java.nio.CharBuffer, java.nio.ByteBuffer)","0.364 ms (0%)","0.357 ms (0%)","0.722 ms (0%)","0.708 ms (0%)","44"
"java.util.zip.Inflater.inflate (byte[], int, int)","0.356 ms (0%)","0.355 ms (0%)","0.421 ms (0%)","0.418 ms (0%)","47"
"java.lang.AbstractStringBuilder.putStringAt (int, String, int, int)","0.355 ms (0%)","0.350 ms (0%)","0.707 ms (0%)","0.704 ms (0%)","440"
"java.lang.AbstractStringBuilder.append (String)","0.349 ms (0%)","0.335 ms (0%)","1.94 ms (0%)","1.89 ms (0%)","440"
"Run.measure (Benchmark)","0.319 ms (0%)","0.322 ms (0%)","2,321,111 ms (16.6%)","2,314,483 ms (16.6%)","40"
"Run.printTotal ()","0.278 ms (0%)","0.281 ms (0%)","0.805 ms (0%)","0.417 ms (0%)","1"
"java.io.PrintStream.println (String)","0.294 ms (0%)","0.280 ms (0%)","6.17 ms (0%)","4.85 ms (0%)","43"
"java.lang.String.substring (int, int)","0.289 ms (0%)","0.275 ms (0%)","0.724 ms (0%)","0.664 ms (0%)","284"
